Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/09/16,2.183 €/m2,-0.2%,-1.3%,-4.3%
01/08/16,2.188 €/m2,-0.5%,-1.2%,-2.7%
01/07/16,2.200 €/m2,-0.5%,-1.7%,-2.2%
01/06/16,2.212 €/m2,-0.1%,-2.4%,-0.4%
01/05/16,2.214 €/m2,-1.1%,-2.1%,0.3%
01/04/16,2.238 €/m2,-1.3%,0.3%,1.4%
01/03/16,2.267 €/m2,0.3%,2.4%,1.7%
01/02/16,2.261 €/m2,1.3%,"1,00%",1.8%
01/01/16,2.231 €/m2,0.7%,-1.7%,-0.1%
01/12/15,2.215 €/m2,-1.1%,-2.9%,-2.7%
01/11/15,2.239 €/m2,-1.4%,-0.4%,-0.8%
01/10/15,2.271 €/m2,-0.4%,0.9%,-0.4%
01/09/15,2.281 €/m2,1.4%,2.7%,-0.2%
01/08/15,2.249 €/m2,-0.1%,1.8%,-1.5%
01/07/15,2.250 €/m2,1.3%,1.9%,-2.1%
01/06/15,2.222 €/m2,0.6%,-0.3%,-4.8%
01/05/15,2.208 €/m2,"0,00%",-0.6%,-7.9%
01/04/15,2.207 €/m2,"-1,00%",-1.2%,-8.1%
01/03/15,2.229 €/m2,0.3%,-2.1%,-7.1%
01/02/15,2.222 €/m2,-0.5%,-1.5%,-7.8%
01/01/15,2.234 €/m2,-1.9%,"-2,00%",-8.8%
01/12/14,2.277 €/m2,0.9%,-0.3%,-7.3%
01/11/14,2.257 €/m2,"-1,00%",-1.2%,-8.3%
01/10/14,2.279 €/m2,-0.3%,-0.8%,-7.4%
01/09/14,2.285 €/m2,0.1%,-2.1%,-7.3%
01/08/14,2.283 €/m2,-0.7%,-4.8%,-8.9%
01/07/14,2.299 €/m2,-1.5%,-4.3%,-9.2%
01/06/14,2.335 €/m2,-2.7%,-2.7%,"-9,00%"
01/05/14,2.398 €/m2,-0.1%,-0.5%,-7.2%
01/04/14,2.402 €/m2,0.1%,-1.9%,-7.7%
01/03/14,2.400 €/m2,-0.4%,-2.3%,"-8,00%"
01/02/14,2.410 €/m2,-1.6%,-2.1%,-8.6%
01/01/14,2.449 €/m2,-0.3%,-0.4%,-8.2%
01/12/13,2.456 €/m2,-0.2%,-0.4%,-8.1%
01/11/13,2.461 €/m2,0.1%,-1.8%,-9.4%
01/10/13,2.460 €/m2,-0.2%,-2.8%,-9.4%
01/09/13,2.466 €/m2,-1.6%,-3.9%,-10.5%
01/08/13,2.506 €/m2,"-1,00%","-3,00%",-8.9%
01/07/13,2.530 €/m2,-1.4%,-2.8%,-8.5%
01/06/13,2.565 €/m2,-0.7%,-1.7%,-7.7%
01/05/13,2.583 €/m2,-0.8%,"-2,00%",-7.3%
01/04/13,2.604 €/m2,-0.2%,-2.4%,-7.6%
01/03/13,2.609 €/m2,"-1,00%",-2.4%,-7.8%
01/02/13,2.637 €/m2,-1.1%,-2.9%,"-8,00%"
