,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
81,01/05/18,11.5,0.4%,1.9%,4.9%,BILBAO
82,01/04/18,11.5,0.6%,0.6%,4.1%,BILBAO
83,01/03/18,11.4,0.9%,"0,00%","3,00%",BILBAO
84,01/02/18,11.3,-0.9%,-0.9%,1.7%,BILBAO
85,01/01/18,11.4,"0,00%",1.4%,2.6%,BILBAO
86,01/12/17,11.4,"0,00%",2.8%,3.1%,BILBAO
87,01/11/17,11.4,1.4%,2.9%,3.7%,BILBAO
88,01/10/17,11.3,1.3%,3.1%,2.5%,BILBAO
89,01/09/17,11.1,0.1%,"2,00%",2.7%,BILBAO
90,01/08/17,11.1,1.6%,"1,00%",3.1%,BILBAO
91,01/07/17,10.9,0.3%,"-1,00%",2.1%,BILBAO
92,01/06/17,10.9,-0.8%,-1.7%,2.3%,BILBAO
93,01/05/17,11.0,-0.4%,-1.2%,2.6%,BILBAO
94,01/04/17,11.0,-0.5%,-0.9%,3.1%,BILBAO
95,01/03/17,11.1,-0.3%,0.1%,4.4%,BILBAO
96,01/02/17,11.1,-0.1%,"1,00%",4.4%,BILBAO
97,01/01/17,11.1,0.5%,1.3%,5.1%,BILBAO
98,01/12/16,11.1,0.6%,2.4%,"6,00%",BILBAO
99,01/11/16,11.0,0.2%,2.3%,4.2%,BILBAO
100,01/10/16,11.0,1.5%,2.7%,"4,00%",BILBAO
101,01/09/16,10.8,0.6%,1.6%,3.7%,BILBAO
102,01/08/16,10.8,0.5%,0.5%,3.8%,BILBAO
103,01/07/16,10.7,0.4%,"0,00%",3.6%,BILBAO
104,01/06/16,10.7,-0.4%,0.4%,2.7%,BILBAO
105,01/05/16,10.7,"0,00%",0.5%,1.8%,BILBAO
106,01/04/16,10.7,0.8%,1.1%,0.8%,BILBAO
107,01/03/16,10.6,-0.4%,1.6%,0.4%,BILBAO
108,01/02/16,10.7,0.6%,0.8%,0.7%,BILBAO
109,01/01/16,10.6,1.3%,0.2%,-0.3%,BILBAO
110,01/12/15,10.5,-1.1%,0.2%,"-2,00%",BILBAO
111,01/11/15,10.6,"0,00%",1.9%,-0.5%,BILBAO
112,01/10/15,10.6,1.3%,2.3%,0.2%,BILBAO
113,01/09/15,10.4,0.6%,0.6%,-0.5%,BILBAO
114,01/08/15,10.4,0.4%,-1.4%,-0.2%,BILBAO
115,01/07/15,10.3,-0.5%,-2.7%,-0.5%,BILBAO
116,01/06/15,10.4,-1.3%,-1.9%,-1.1%,BILBAO
117,01/05/15,10.5,-0.9%,-0.5%,-0.3%,BILBAO
