,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
402,01/10/10,n.d.,n.d.,n.d.,n.d.,Abando
403,01/09/10,n.d.,n.d.,n.d.,n.d.,Abando
404,01/08/10,n.d.,n.d.,n.d.,n.d.,Abando
405,01/07/10,n.d.,n.d.,n.d.,n.d.,Abando
406,01/06/10,n.d.,n.d.,n.d.,n.d.,Abando
407,01/05/10,n.d.,n.d.,n.d.,n.d.,Abando
408,01/04/10,n.d.,n.d.,n.d.,n.d.,Abando
409,01/03/10,n.d.,n.d.,n.d.,n.d.,Abando
410,01/02/10,n.d.,n.d.,n.d.,n.d.,Abando
411,01/01/10,n.d.,n.d.,n.d.,n.d.,Abando
412,01/12/09,n.d.,n.d.,n.d.,n.d.,Abando
413,01/11/09,n.d.,n.d.,n.d.,n.d.,Abando
414,01/10/09,n.d.,n.d.,n.d.,n.d.,Abando
415,01/09/09,n.d.,n.d.,n.d.,n.d.,Abando
416,01/08/09,n.d.,n.d.,n.d.,n.d.,Abando
417,01/07/09,n.d.,n.d.,n.d.,n.d.,Abando
418,01/06/09,n.d.,n.d.,n.d.,n.d.,Abando
419,01/05/09,n.d.,n.d.,n.d.,n.d.,Abando
420,01/04/09,n.d.,n.d.,n.d.,n.d.,Abando
421,01/03/09,n.d.,n.d.,n.d.,n.d.,Abando
422,01/02/09,n.d.,n.d.,n.d.,n.d.,Abando
423,01/01/09,n.d.,n.d.,n.d.,n.d.,Abando
424,01/12/08,n.d.,n.d.,n.d.,n.d.,Abando
425,01/11/08,n.d.,n.d.,n.d.,n.d.,Abando
426,01/10/08,n.d.,n.d.,n.d.,n.d.,Abando
427,01/09/08,n.d.,n.d.,n.d.,n.d.,Abando
428,01/08/08,n.d.,n.d.,n.d.,n.d.,Abando
429,01/07/08,n.d.,n.d.,n.d.,n.d.,Abando
430,01/06/08,n.d.,n.d.,n.d.,n.d.,Abando
431,01/05/08,n.d.,n.d.,n.d.,n.d.,Abando
432,01/04/08,n.d.,n.d.,n.d.,n.d.,Abando
433,01/03/08,n.d.,n.d.,n.d.,n.d.,Abando
434,01/02/08,n.d.,n.d.,n.d.,n.d.,Abando
435,01/01/08,n.d.,n.d.,n.d.,n.d.,Abando
436,01/12/07,n.d.,n.d.,n.d.,n.d.,Abando
437,01/11/07,n.d.,n.d.,n.d.,n.d.,Abando
438,01/10/07,n.d.,n.d.,n.d.,n.d.,Abando
439,01/09/07,n.d.,n.d.,n.d.,n.d.,Abando
440,01/08/07,n.d.,n.d.,n.d.,n.d.,Abando
441,01/07/07,n.d.,n.d.,n.d.,n.d.,Abando
442,01/06/07,n.d.,n.d.,n.d.,n.d.,Abando
443,01/05/07,n.d.,n.d.,n.d.,n.d.,Abando
444,01/04/07,n.d.,n.d.,n.d.,n.d.,Abando
445,01/03/07,n.d.,n.d.,n.d.,n.d.,Abando
446,01/02/07,n.d.,n.d.,n.d.,n.d.,Abando
447,01/01/07,n.d.,n.d.,n.d.,n.d.,Abando
448,01/12/06,n.d.,n.d.,n.d.,n.d.,Abando
449,01/11/06,n.d.,n.d.,n.d.,n.d.,Abando
450,01/10/06,n.d.,n.d.,n.d.,n.d.,Abando
451,01/09/06,n.d.,n.d.,n.d.,n.d.,Abando
452,01/08/06,n.d.,n.d.,n.d.,n.d.,Abando
453,01/07/06,n.d.,n.d.,n.d.,n.d.,Abando
454,01/06/06,n.d.,n.d.,n.d.,n.d.,Abando
455,01/05/06,n.d.,n.d.,n.d.,n.d.,Abando
456,01/04/06,n.d.,n.d.,n.d.,n.d.,Abando
457,01/03/06,n.d.,n.d.,n.d.,n.d.,Abando
458,01/02/06,n.d.,n.d.,n.d.,n.d.,Abando
459,01/01/06,n.d.,n.d.,n.d.,n.d.,Abando
460,01/02/25,14.3,-0.2%,-0.2%,"2,00%",Basurto
461,01/01/25,14.3,n.d.,-1.4%,6.9%,Basurto
462,01/12/24,14.3,n.d.,2.2%,"8,00%",Basurto
463,01/11/24,14.3,-1.4%,2.2%,9.8%,Basurto
464,01/10/24,14.5,3.7%,"4,00%","7,00%",Basurto
465,01/09/24,14.0,n.d.,0.2%,7.3%,Basurto
466,01/08/24,14.0,0.3%,-1.2%,8.8%,Basurto
467,01/07/24,14.0,-0.1%,-0.3%,"8,00%",Basurto
468,01/06/24,14.0,-1.4%,-0.2%,"8,00%",Basurto
469,01/05/24,14.2,1.2%,1.2%,10.7%,Basurto
470,01/04/24,14.0,n.d.,4.6%,7.7%,Basurto
471,01/03/24,14.0,n.d.,5.7%,"5,00%",Basurto
472,01/02/24,14.0,4.6%,7.5%,4.1%,Basurto
473,01/01/24,13.4,"1,00%",-1.4%,3.4%,Basurto
474,01/12/23,13.3,1.7%,1.6%,2.4%,Basurto
475,01/11/23,13.0,"-4,00%",1.2%,-1.6%,Basurto
476,01/10/23,13.6,4.1%,"5,00%",4.4%,Basurto
477,01/09/23,13.0,1.3%,0.8%,5.7%,Basurto
478,01/08/23,12.9,-0.5%,0.6%,4.3%,Basurto
479,01/07/23,12.9,-0.1%,-0.5%,3.4%,Basurto
480,01/06/23,12.9,1.1%,-2.9%,1.2%,Basurto
481,01/05/23,12.8,-1.6%,-4.9%,-2.2%,Basurto
482,01/04/23,13.0,-2.5%,0.5%,-0.6%,Basurto
483,01/03/23,13.3,-0.9%,"3,00%",7.9%,Basurto
484,01/02/23,13.5,3.9%,1.6%,8.8%,Basurto
485,01/01/23,12.9,n.d.,-0.5%,3.5%,Basurto
486,01/12/22,12.9,-2.2%,4.9%,4.7%,Basurto
487,01/11/22,13.2,1.8%,7.3%,5.9%,Basurto
488,01/10/22,13.0,5.4%,"4,00%","4,00%",Basurto
489,01/09/22,12.3,n.d.,-3.5%,1.5%,Basurto
490,01/08/22,12.3,-1.3%,-5.7%,3.9%,Basurto
491,01/07/22,12.5,-2.2%,-4.4%,4.7%,Basurto
492,01/06/22,12.8,-2.3%,3.5%,7.7%,Basurto
493,01/05/22,13.1,0.1%,5.9%,6.6%,Basurto
494,01/04/22,13.1,5.8%,4.6%,"8,00%",Basurto
495,01/03/22,12.4,n.d.,"0,00%",0.7%,Basurto
496,01/02/22,12.4,-1.1%,-1.1%,-1.1%,Basurto
497,01/01/22,12.5,1.2%,n.d.,n.d.,Basurto
498,01/12/21,12.4,-1.1%,1.7%,0.5%,Basurto
499,01/11/21,12.5,n.d.,5.3%,1.3%,Basurto
500,01/10/21,12.5,2.8%,4.7%,2.5%,Basurto
501,01/09/21,12.2,2.3%,2.3%,1.4%,Basurto
502,01/08/21,11.9,-0.5%,-3.2%,-0.9%,Basurto
503,01/07/21,11.9,0.5%,-1.4%,"-1,00%",Basurto
504,01/06/21,11.9,-3.2%,-3.2%,-2.1%,Basurto
505,01/05/21,12.3,1.4%,-1.8%,2.4%,Basurto
506,01/04/21,12.1,-1.4%,-3.2%,2.8%,Basurto
507,01/03/21,12.3,-1.8%,-0.2%,3.8%,Basurto
508,01/02/21,12.5,n.d.,1.3%,4.9%,Basurto
509,01/01/21,12.5,1.7%,2.5%,3.3%,Basurto
510,01/12/20,12.3,-0.3%,2.6%,1.2%,Basurto
511,01/11/20,12.3,1.1%,2.9%,1.6%,Basurto
512,01/10/20,12.2,1.8%,1.2%,1.6%,Basurto
513,01/09/20,12.0,"0,00%",-1.2%,4.9%,Basurto
514,01/08/20,12.0,-0.6%,"0,00%",5.8%,Basurto
515,01/07/20,12.1,-0.6%,2.4%,8.4%,Basurto
516,01/06/20,12.1,1.2%,2.7%,10.6%,Basurto
517,01/05/20,12.0,1.8%,0.6%,9.7%,Basurto
518,01/04/20,11.8,-0.4%,-2.7%,7.3%,Basurto
519,01/03/20,11.8,-0.8%,-2.7%,"7,00%",Basurto
520,01/02/20,11.9,-1.5%,-1.9%,1.8%,Basurto
521,01/01/20,12.1,-0.3%,0.8%,"0,00%",Basurto
522,01/12/19,12.1,"0,00%",6.2%,3.4%,Basurto
523,01/11/19,12.1,1.2%,7.1%,5.1%,Basurto
524,01/10/19,12.0,"5,00%",7.9%,2.6%,Basurto
525,01/09/19,11.4,0.8%,4.2%,-0.6%,Basurto
526,01/08/19,11.3,1.9%,3.8%,0.2%,Basurto
527,01/07/19,11.1,1.4%,1.3%,-5.3%,Basurto
528,01/06/19,11.0,0.4%,-0.7%,-8.4%,Basurto
529,01/05/19,10.9,-0.5%,-6.7%,-10.1%,Basurto
530,01/04/19,11.0,-0.7%,-9.3%,-5.9%,Basurto
531,01/03/19,11.0,-5.6%,"-6,00%",-5.3%,Basurto
532,01/02/19,11.7,-3.3%,1.3%,"4,00%",Basurto
533,01/01/19,12.1,"3,00%",3.4%,8.2%,Basurto
534,01/12/18,11.7,1.6%,2.2%,9.6%,Basurto
535,01/11/18,11.6,-1.2%,2.2%,3.7%,Basurto
536,01/10/18,11.7,1.7%,-0.4%,9.6%,Basurto
537,01/09/18,11.5,1.7%,"-4,00%",5.7%,Basurto
538,01/08/18,11.3,-3.7%,-6.8%,4.4%,Basurto
539,01/07/18,11.7,-1.9%,0.7%,10.5%,Basurto
540,01/06/18,12.0,-1.4%,2.7%,12.7%,Basurto
541,01/05/18,12.1,4.1%,7.9%,13.8%,Basurto
542,01/04/18,11.7,n.d.,4.4%,9.8%,Basurto
543,01/03/18,11.7,3.7%,8.9%,10.2%,Basurto
544,01/02/18,11.3,0.7%,"1,00%",4.5%,Basurto
545,01/01/18,11.2,4.3%,4.8%,6.4%,Basurto
546,01/12/17,10.7,-3.8%,-1.5%,0.5%,Basurto
547,01/11/17,11.1,4.5%,2.9%,1.1%,Basurto
548,01/10/17,10.7,-1.9%,0.4%,-1.5%,Basurto
549,01/09/17,10.9,0.4%,2.4%,"1,00%",Basurto
550,01/08/17,10.8,"2,00%",1.6%,1.6%,Basurto
551,01/07/17,10.6,n.d.,"0,00%",-0.8%,Basurto
552,01/06/17,10.6,-0.4%,0.4%,-0.8%,Basurto
553,01/05/17,10.7,0.4%,-0.9%,0.4%,Basurto
554,01/04/17,10.6,0.4%,1.2%,-3.7%,Basurto
555,01/03/17,10.6,-1.7%,-0.7%,-1.7%,Basurto
556,01/02/17,10.8,2.5%,-2.3%,-0.2%,Basurto
557,01/01/17,10.5,-1.5%,"-3,00%",-2.5%,Basurto
558,01/12/16,10.7,-3.3%,"-1,00%","1,00%",Basurto
559,01/11/16,11.0,1.7%,3.3%,3.7%,Basurto
560,01/10/16,10.8,0.6%,1.1%,0.7%,Basurto
561,01/09/16,10.8,"1,00%",0.5%,-4.3%,Basurto
562,01/08/16,10.7,-0.4%,0.4%,-2.2%,Basurto
563,01/07/16,10.7,n.d.,-2.9%,n.d.,Basurto
564,01/06/16,10.7,0.8%,-0.5%,-0.5%,Basurto
565,01/05/16,10.6,-3.8%,-1.4%,-0.8%,Basurto
566,01/04/16,11.0,2.5%,2.5%,3.9%,Basurto
567,01/03/16,10.8,-0.1%,"2,00%",2.3%,Basurto
568,01/02/16,10.8,0.1%,1.5%,1.5%,Basurto
569,01/01/16,10.8,"2,00%",0.1%,1.4%,Basurto
570,01/12/15,10.6,-0.7%,-6.2%,-3.1%,Basurto
571,01/11/15,10.6,-1.3%,-2.6%,-1.9%,Basurto
572,01/10/15,10.8,-4.3%,0.4%,-0.1%,Basurto
573,01/09/15,11.3,3.1%,4.5%,"5,00%",Basurto
574,01/08/15,10.9,1.8%,1.8%,2.7%,Basurto
575,01/07/15,10.7,-0.5%,0.8%,n.d.,Basurto
576,01/06/15,10.8,0.5%,2.3%,0.5%,Basurto
577,01/05/15,10.7,0.8%,0.8%,-0.5%,Basurto
578,01/04/15,10.6,0.9%,n.d.,-1.3%,Basurto
579,01/03/15,10.5,-0.9%,-3.4%,-0.6%,Basurto
580,01/02/15,10.6,n.d.,-1.9%,-0.4%,Basurto
581,01/01/15,10.6,-2.5%,-1.3%,-1.6%,Basurto
582,01/12/14,10.9,0.6%,1.7%,1.5%,Basurto
583,01/11/14,10.8,0.6%,"2,00%",2.7%,Basurto
584,01/10/14,10.8,0.5%,0.5%,4.4%,Basurto
585,01/09/14,10.7,0.8%,n.d.,"1,00%",Basurto
586,01/08/14,10.6,-0.8%,-1.3%,0.2%,Basurto
587,01/07/14,10.7,n.d.,-0.5%,"2,00%",Basurto
588,01/06/14,10.7,-0.5%,1.2%,3.8%,Basurto
589,01/05/14,10.8,n.d.,"1,00%","3,00%",Basurto
590,01/04/14,10.8,1.7%,-0.3%,0.5%,Basurto
591,01/03/14,10.6,-0.7%,-1.3%,-0.7%,Basurto
592,01/02/14,10.7,-1.2%,1.1%,0.4%,Basurto
593,01/01/14,10.8,0.6%,4.7%,"-1,00%",Basurto
594,01/12/13,10.7,1.7%,1.2%,-3.1%,Basurto
595,01/11/13,10.6,2.3%,-0.5%,-3.8%,Basurto
596,01/10/13,10.3,-2.7%,-1.9%,-8.2%,Basurto
597,01/09/13,10.6,"0,00%",2.8%,-3.6%,Basurto
598,01/08/13,10.6,0.9%,1.5%,-5.9%,Basurto
599,01/07/13,10.5,1.9%,-1.9%,-8.1%,Basurto
600,01/06/13,10.3,-1.3%,-3.3%,-9.4%,Basurto
601,01/05/13,10.5,-2.4%,-1.6%,-11.2%,Basurto
602,01/04/13,10.7,0.4%,-1.8%,-9.3%,Basurto
603,01/03/13,10.7,0.4%,-3.7%,-9.7%,Basurto
604,01/02/13,10.6,-2.6%,-3.2%,-10.1%,Basurto
605,01/01/13,10.9,-1.5%,-2.9%,-14.2%,Basurto
606,01/12/12,11.1,"1,00%",0.7%,n.d.,Basurto
607,01/11/12,11.0,-2.4%,-2.6%,n.d.,Basurto
608,01/10/12,11.2,2.2%,-1.7%,n.d.,Basurto
609,01/09/12,11.0,-2.4%,-3.4%,n.d.,Basurto
610,01/08/12,11.3,-1.4%,-4.3%,n.d.,Basurto
611,01/07/12,11.4,0.3%,-3.2%,n.d.,Basurto
612,01/06/12,11.4,-3.2%,-3.6%,n.d.,Basurto
613,01/05/12,11.8,-0.3%,-0.4%,n.d.,Basurto
614,01/04/12,11.8,-0.1%,-7.1%,n.d.,Basurto
615,01/03/12,11.8,n.d.,n.d.,n.d.,Basurto
616,01/02/12,11.8,"-7,00%",n.d.,n.d.,Basurto
617,01/01/12,12.7,n.d.,n.d.,n.d.,Basurto
618,01/12/11,n.d.,n.d.,n.d.,n.d.,Basurto
619,01/11/11,n.d.,n.d.,n.d.,n.d.,Basurto
620,01/10/11,n.d.,n.d.,n.d.,n.d.,Basurto
621,01/09/11,n.d.,n.d.,n.d.,n.d.,Basurto
622,01/08/11,n.d.,n.d.,n.d.,n.d.,Basurto
623,01/07/11,n.d.,n.d.,n.d.,n.d.,Basurto
624,01/06/11,n.d.,n.d.,n.d.,n.d.,Basurto
625,01/05/11,n.d.,n.d.,n.d.,n.d.,Basurto
626,01/04/11,n.d.,n.d.,n.d.,n.d.,Basurto
627,01/03/11,n.d.,n.d.,n.d.,n.d.,Basurto
628,01/02/11,n.d.,n.d.,n.d.,n.d.,Basurto
629,01/01/11,n.d.,n.d.,n.d.,n.d.,Basurto
630,01/12/10,n.d.,n.d.,n.d.,n.d.,Basurto
631,01/11/10,n.d.,n.d.,n.d.,n.d.,Basurto
632,01/10/10,n.d.,n.d.,n.d.,n.d.,Basurto
633,01/09/10,n.d.,n.d.,n.d.,n.d.,Basurto
634,01/08/10,n.d.,n.d.,n.d.,n.d.,Basurto
635,01/07/10,n.d.,n.d.,n.d.,n.d.,Basurto
636,01/06/10,n.d.,n.d.,n.d.,n.d.,Basurto
637,01/05/10,n.d.,n.d.,n.d.,n.d.,Basurto
638,01/04/10,n.d.,n.d.,n.d.,n.d.,Basurto
639,01/03/10,n.d.,n.d.,n.d.,n.d.,Basurto
640,01/02/10,n.d.,n.d.,n.d.,n.d.,Basurto
641,01/01/10,n.d.,n.d.,n.d.,n.d.,Basurto
642,01/12/09,n.d.,n.d.,n.d.,n.d.,Basurto
643,01/11/09,n.d.,n.d.,n.d.,n.d.,Basurto
644,01/10/09,n.d.,n.d.,n.d.,n.d.,Basurto
645,01/09/09,n.d.,n.d.,n.d.,n.d.,Basurto
646,01/08/09,n.d.,n.d.,n.d.,n.d.,Basurto
647,01/07/09,n.d.,n.d.,n.d.,n.d.,Basurto
648,01/06/09,n.d.,n.d.,n.d.,n.d.,Basurto
649,01/05/09,n.d.,n.d.,n.d.,n.d.,Basurto
650,01/04/09,n.d.,n.d.,n.d.,n.d.,Basurto
651,01/03/09,n.d.,n.d.,n.d.,n.d.,Basurto
652,01/02/09,n.d.,n.d.,n.d.,n.d.,Basurto
653,01/01/09,n.d.,n.d.,n.d.,n.d.,Basurto
654,01/12/08,n.d.,n.d.,n.d.,n.d.,Basurto
655,01/11/08,n.d.,n.d.,n.d.,n.d.,Basurto
656,01/10/08,n.d.,n.d.,n.d.,n.d.,Basurto
657,01/09/08,n.d.,n.d.,n.d.,n.d.,Basurto
658,01/08/08,n.d.,n.d.,n.d.,n.d.,Basurto
659,01/07/08,n.d.,n.d.,n.d.,n.d.,Basurto
660,01/06/08,n.d.,n.d.,n.d.,n.d.,Basurto
661,01/05/08,n.d.,n.d.,n.d.,n.d.,Basurto
662,01/04/08,n.d.,n.d.,n.d.,n.d.,Basurto
663,01/03/08,n.d.,n.d.,n.d.,n.d.,Basurto
664,01/02/08,n.d.,n.d.,n.d.,n.d.,Basurto
665,01/01/08,n.d.,n.d.,n.d.,n.d.,Basurto
666,01/12/07,n.d.,n.d.,n.d.,n.d.,Basurto
667,01/11/07,n.d.,n.d.,n.d.,n.d.,Basurto
668,01/10/07,n.d.,n.d.,n.d.,n.d.,Basurto
669,01/09/07,n.d.,n.d.,n.d.,n.d.,Basurto
670,01/08/07,n.d.,n.d.,n.d.,n.d.,Basurto
671,01/07/07,n.d.,n.d.,n.d.,n.d.,Basurto
672,01/06/07,n.d.,n.d.,n.d.,n.d.,Basurto
673,01/05/07,n.d.,n.d.,n.d.,n.d.,Basurto
674,01/04/07,n.d.,n.d.,n.d.,n.d.,Basurto
675,01/03/07,n.d.,n.d.,n.d.,n.d.,Basurto
676,01/02/07,n.d.,n.d.,n.d.,n.d.,Basurto
677,01/01/07,n.d.,n.d.,n.d.,n.d.,Basurto
678,01/12/06,n.d.,n.d.,n.d.,n.d.,Basurto
679,01/11/06,n.d.,n.d.,n.d.,n.d.,Basurto
680,01/10/06,n.d.,n.d.,n.d.,n.d.,Basurto
681,01/09/06,n.d.,n.d.,n.d.,n.d.,Basurto
682,01/08/06,n.d.,n.d.,n.d.,n.d.,Basurto
683,01/07/06,n.d.,n.d.,n.d.,n.d.,Basurto
684,01/06/06,n.d.,n.d.,n.d.,n.d.,Basurto
685,01/05/06,n.d.,n.d.,n.d.,n.d.,Basurto
686,01/04/06,n.d.,n.d.,n.d.,n.d.,Basurto
687,01/03/06,n.d.,n.d.,n.d.,n.d.,Basurto
688,01/02/06,n.d.,n.d.,n.d.,n.d.,Basurto
689,01/01/06,n.d.,n.d.,n.d.,n.d.,Basurto
690,01/03/25,13.8,n.d.,n.d.,7.7%,Begoña
691,01/02/25,n.d.,n.d.,n.d.,n.d.,Begoña
692,01/01/25,n.d.,n.d.,n.d.,n.d.,Begoña
693,01/12/24,n.d.,n.d.,n.d.,n.d.,Begoña
694,01/11/24,13.1,-0.2%,7.4%,7.7%,Begoña
695,01/10/24,13.1,5.7%,3.2%,7.5%,Begoña
696,01/09/24,12.4,1.8%,"1,00%",0.8%,Begoña
697,01/08/24,12.2,-4.1%,n.d.,"-1,00%",Begoña
698,01/07/24,12.7,3.4%,n.d.,4.6%,Begoña
699,01/06/24,12.3,n.d.,-4.5%,2.3%,Begoña
700,01/05/24,n.d.,n.d.,n.d.,n.d.,Begoña
701,01/04/24,n.d.,n.d.,n.d.,n.d.,Begoña
702,01/03/24,12.9,n.d.,5.4%,7.3%,Begoña
703,01/02/24,12.9,n.d.,5.9%,6.4%,Begoña
704,01/01/24,n.d.,n.d.,n.d.,n.d.,Begoña
705,01/12/23,12.2,0.5%,-0.8%,4.6%,Begoña
706,01/11/23,12.1,-0.4%,-1.3%,6.3%,Begoña
707,01/10/23,12.2,-0.9%,0.4%,5.3%,Begoña
708,01/09/23,12.3,n.d.,2.6%,3.7%,Begoña
709,01/08/23,12.3,1.4%,3.7%,1.4%,Begoña
710,01/07/23,12.1,1.2%,2.3%,1.2%,Begoña
711,01/06/23,12.0,1.1%,0.1%,1.1%,Begoña
712,01/05/23,11.9,n.d.,-1.8%,1.7%,Begoña
713,01/04/23,11.9,"-1,00%",0.7%,-3.6%,Begoña
714,01/03/23,12.0,-0.8%,2.7%,-0.8%,Begoña
715,01/02/23,12.1,2.5%,5.7%,2.2%,Begoña
716,01/01/23,11.8,"1,00%",1.8%,"1,00%",Begoña
717,01/12/22,11.7,2.1%,-1.7%,3.1%,Begoña
718,01/11/22,11.4,-1.3%,-5.9%,1.6%,Begoña
719,01/10/22,11.6,-2.4%,-3.5%,2.8%,Begoña
720,01/09/22,11.9,-2.3%,n.d.,6.2%,Begoña
721,01/08/22,12.1,1.2%,4.1%,7.4%,Begoña
722,01/07/22,12.0,1.1%,-2.5%,6.2%,Begoña
723,01/06/22,11.9,1.7%,-1.8%,4.2%,Begoña
724,01/05/22,11.7,-5.2%,-1.3%,2.4%,Begoña
725,01/04/22,12.3,1.9%,5.5%,8.6%,Begoña
726,01/03/22,12.1,2.2%,6.8%,5.7%,Begoña
727,01/02/22,11.8,1.3%,5.1%,3.4%,Begoña
728,01/01/22,11.7,3.1%,3.6%,1.8%,Begoña
729,01/12/21,11.3,0.6%,1.2%,-0.4%,Begoña
730,01/11/21,11.3,-0.2%,-0.5%,0.7%,Begoña
731,01/10/21,11.3,0.8%,-0.3%,1.4%,Begoña
732,01/09/21,11.2,-1.1%,-1.9%,3.2%,Begoña
733,01/08/21,11.3,"0,00%",-0.8%,0.5%,Begoña
734,01/07/21,11.3,-0.8%,-0.3%,-1.1%,Begoña
735,01/06/21,11.4,"0,00%",-0.3%,-2.4%,Begoña
736,01/05/21,11.4,0.5%,-0.3%,-5.6%,Begoña
737,01/04/21,11.3,-0.8%,-1.1%,-3.7%,Begoña
738,01/03/21,11.4,n.d.,0.6%,"-1,00%",Begoña
739,01/02/21,11.4,-0.3%,2.3%,"-2,00%",Begoña
740,01/01/21,11.5,0.8%,3.1%,n.d.,Begoña
741,01/12/20,11.4,1.7%,4.9%,-0.6%,Begoña
742,01/11/20,11.2,0.6%,-0.7%,-0.8%,Begoña
743,01/10/20,11.1,2.6%,-2.8%,-3.2%,Begoña
744,01/09/20,10.8,-3.7%,-7.1%,-1.5%,Begoña
745,01/08/20,11.3,-1.6%,-6.8%,5.4%,Begoña
746,01/07/20,11.4,"-2,00%",-2.9%,6.7%,Begoña
747,01/06/20,11.7,-3.3%,1.1%,5.8%,Begoña
748,01/05/20,12.1,2.5%,3.4%,12.8%,Begoña
749,01/04/20,11.8,"2,00%",n.d.,10.9%,Begoña
750,01/03/20,11.5,-1.1%,"1,00%",9.9%,Begoña
751,01/02/20,11.7,n.d.,3.5%,9.8%,Begoña
752,01/01/20,n.d.,n.d.,n.d.,n.d.,Begoña
753,01/12/19,11.4,1.4%,3.9%,7.6%,Begoña
754,01/11/19,11.3,-1.8%,5.6%,6.7%,Begoña
755,01/10/19,11.5,4.4%,7.1%,8.8%,Begoña
756,01/09/19,11.0,3.1%,-0.3%,3.9%,Begoña
757,01/08/19,10.7,-0.4%,-0.3%,2.4%,Begoña
758,01/07/19,10.7,-2.9%,0.9%,1.8%,Begoña
759,01/06/19,11.0,"3,00%","5,00%",4.8%,Begoña
760,01/05/19,10.7,0.8%,0.7%,0.3%,Begoña
761,01/04/19,10.6,1.1%,-0.9%,0.3%,Begoña
762,01/03/19,10.5,-1.2%,-1.2%,0.8%,Begoña
763,01/02/19,10.6,-0.8%,0.7%,"5,00%",Begoña
764,01/01/19,10.7,0.8%,1.5%,7.1%,Begoña
765,01/12/18,10.6,0.7%,0.3%,6.3%,Begoña
766,01/11/18,10.6,n.d.,1.3%,-1.5%,Begoña
767,01/10/18,10.6,-0.3%,0.3%,-1.5%,Begoña
768,01/09/18,10.6,1.6%,0.6%,-0.7%,Begoña
769,01/08/18,10.4,"-1,00%",-2.3%,1.4%,Begoña
770,01/07/18,10.5,n.d.,-0.6%,2.5%,Begoña
771,01/06/18,10.5,-1.3%,1.1%,2.3%,Begoña
772,01/05/18,10.7,0.7%,5.4%,0.4%,Begoña
773,01/04/18,10.6,1.6%,5.9%,-1.2%,Begoña
774,01/03/18,10.4,"3,00%",4.2%,-2.8%,Begoña
775,01/02/18,10.1,1.2%,-5.6%,-2.1%,Begoña
776,01/01/18,10.0,n.d.,-6.7%,n.d.,Begoña
777,01/12/17,10.0,-6.7%,-6.3%,n.d.,Begoña
778,01/11/17,10.7,n.d.,4.3%,7.1%,Begoña
779,01/10/17,10.7,0.4%,4.3%,7.1%,Begoña
780,01/09/17,10.7,3.8%,3.6%,6.7%,Begoña
781,01/08/17,10.3,n.d.,-3.3%,2.7%,Begoña
782,01/07/17,10.3,-0.2%,-4.1%,5.7%,Begoña
783,01/06/17,10.3,-3.1%,-3.9%,6.1%,Begoña
784,01/05/17,10.6,-0.8%,2.8%,8.5%,Begoña
785,01/04/17,10.7,n.d.,7.1%,11.7%,Begoña
786,01/03/17,10.7,3.7%,7.1%,13.4%,Begoña
787,01/02/17,10.3,3.3%,3.3%,5.8%,Begoña
788,01/01/17,10.0,n.d.,n.d.,3.6%,Begoña
789,01/12/16,10.0,n.d.,n.d.,6.7%,Begoña
790,01/11/16,10.0,n.d.,n.d.,5.6%,Begoña
791,01/10/16,10.0,n.d.,2.9%,4.6%,Begoña
792,01/09/16,10.0,n.d.,3.1%,1.4%,Begoña
793,01/08/16,10.0,2.9%,2.1%,n.d.,Begoña
794,01/07/16,9.7,0.2%,1.4%,-0.4%,Begoña
795,01/06/16,9.7,-0.9%,2.7%,-0.2%,Begoña
796,01/05/16,9.8,2.1%,0.3%,-2.1%,Begoña
797,01/04/16,9.6,1.5%,-0.6%,-0.8%,Begoña
798,01/03/16,9.4,-3.3%,0.7%,-2.2%,Begoña
799,01/02/16,9.8,1.2%,3.1%,1.3%,Begoña
800,01/01/16,9.6,2.9%,0.9%,0.1%,Begoña
801,01/12/15,9.4,"-1,00%",-4.9%,-6.3%,Begoña
802,01/11/15,9.5,-0.9%,-5.3%,-5.3%,Begoña
803,01/10/15,9.6,"-3,00%",-2.1%,-4.4%,Begoña
804,01/09/15,9.9,-1.4%,1.4%,"2,00%",Begoña
805,01/08/15,10.0,2.4%,n.d.,1.3%,Begoña
806,01/07/15,9.8,0.4%,"1,00%",-2.3%,Begoña
807,01/06/15,9.7,-2.8%,0.7%,-2.8%,Begoña
808,01/05/15,10.0,3.4%,3.7%,n.d.,Begoña
809,01/04/15,9.7,0.1%,0.2%,-3.3%,Begoña
810,01/03/15,9.7,0.2%,-3.4%,-3.3%,Begoña
811,01/02/15,9.6,"0,00%",-3.6%,-3.5%,Begoña
812,01/01/15,9.6,-3.6%,-3.6%,-1.9%,Begoña
813,01/12/14,10.0,n.d.,3.4%,n.d.,Begoña
814,01/11/14,10.0,n.d.,1.3%,0.1%,Begoña
815,01/10/14,10.0,3.4%,n.d.,0.2%,Begoña
816,01/09/14,9.7,-2.1%,-3.3%,-3.2%,Begoña
817,01/08/14,9.9,-1.3%,-1.3%,-1.1%,Begoña
818,01/07/14,10.0,n.d.,n.d.,0.1%,Begoña
819,01/06/14,10.0,n.d.,0.1%,0.1%,Begoña
820,01/05/14,10.0,n.d.,0.1%,0.2%,Begoña
821,01/04/14,10.0,0.1%,1.7%,0.2%,Begoña
822,01/03/14,10.0,"0,00%",-0.1%,-0.1%,Begoña
823,01/02/14,10.0,1.6%,0.1%,-0.1%,Begoña
