Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/09/16,2.847 €/m2,"-1,00%",-1.9%,-0.2%
01/08/16,2.876 €/m2,-0.9%,"0,00%",0.6%
01/07/16,2.903 €/m2,"0,00%",0.9%,1.6%
01/06/16,2.902 €/m2,0.9%,0.5%,3.4%
01/05/16,2.877 €/m2,"0,00%",0.1%,2.3%
01/04/16,2.878 €/m2,-0.4%,0.8%,2.3%
01/03/16,2.889 €/m2,0.5%,"1,00%",1.5%
01/02/16,2.875 €/m2,0.7%,1.7%,"1,00%"
01/01/16,2.855 €/m2,-0.2%,0.3%,0.4%
01/12/15,2.860 €/m2,1.1%,0.2%,-0.8%
01/11/15,2.828 €/m2,-0.7%,-1.1%,"-2,00%"
01/10/15,2.847 €/m2,-0.2%,-0.4%,-1.2%
01/09/15,2.853 €/m2,-0.2%,1.7%,-0.5%
01/08/15,2.859 €/m2,"0,00%",1.6%,0.8%
01/07/15,2.858 €/m2,1.9%,1.6%,-1.1%
01/06/15,2.806 €/m2,-0.2%,-1.4%,-4.4%
01/05/15,2.813 €/m2,"0,00%",-1.2%,-3.9%
01/04/15,2.813 €/m2,-1.2%,-1.1%,"-4,00%"
01/03/15,2.847 €/m2,0.1%,-1.2%,-4.2%
01/02/15,2.846 €/m2,0.1%,-1.4%,-4.9%
01/01/15,2.843 €/m2,-1.4%,-1.3%,"-5,00%"
01/12/14,2.882 €/m2,-0.1%,0.5%,-5.9%
01/11/14,2.885 €/m2,0.2%,1.7%,-7.1%
01/10/14,2.881 €/m2,0.4%,-0.3%,"-8,00%"
01/09/14,2.869 €/m2,1.1%,-2.3%,-9.5%
01/08/14,2.837 €/m2,-1.9%,-3.1%,-9.2%
01/07/14,2.891 €/m2,-1.5%,-1.3%,-6.8%
01/06/14,2.936 €/m2,0.3%,-1.2%,-6.6%
01/05/14,2.927 €/m2,-0.1%,-2.2%,-6.1%
01/04/14,2.929 €/m2,-1.5%,-2.2%,"-7,00%"
01/03/14,2.973 €/m2,-0.7%,"-3,00%",-6.7%
01/02/14,2.993 €/m2,"0,00%",-3.6%,-8.2%
01/01/14,2.993 €/m2,-2.3%,-4.4%,-8.4%
01/12/13,3.064 €/m2,-1.4%,-3.4%,-5.9%
01/11/13,3.107 €/m2,-0.8%,-0.6%,-9.5%
01/10/13,3.131 €/m2,-1.2%,0.9%,-8.3%
01/09/13,3.171 €/m2,1.4%,0.8%,-7.5%
01/08/13,3.125 €/m2,0.7%,0.3%,-9.3%
01/07/13,3.103 €/m2,-1.3%,-1.4%,-10.4%
01/06/13,3.145 €/m2,0.9%,-1.4%,-9.5%
01/05/13,3.117 €/m2,"-1,00%",-4.4%,-10.3%
01/04/13,3.148 €/m2,-1.3%,-3.6%,-11.5%
01/03/13,3.188 €/m2,-2.2%,-2.1%,-11.2%
01/02/13,3.259 €/m2,-0.2%,-5.1%,-9.7%
01/01/13,3.266 €/m2,0.3%,-4.3%,-10.5%
01/12/12,3.257 €/m2,-5.1%,"-5,00%",-12.9%
01/11/12,3.433 €/m2,0.6%,-0.4%,-10.2%
01/10/12,3.413 €/m2,-0.5%,-1.4%,-11.9%
01/09/12,3.429 €/m2,-0.5%,-1.3%,-11.3%
01/08/12,3.445 €/m2,-0.5%,-0.8%,"-8,00%"
01/07/12,3.463 €/m2,-0.4%,-2.6%,-9.6%
01/06/12,3.476 €/m2,"0,00%",-3.2%,-10.4%
01/05/12,3.474 €/m2,-2.3%,-3.7%,-10.5%
01/04/12,3.555 €/m2,"-1,00%",-2.6%,-8.8%
01/03/12,3.590 €/m2,-0.5%,-3.9%,"-9,00%"
01/02/12,3.609 €/m2,-1.1%,-5.5%,-9.8%
01/01/12,3.649 €/m2,-2.4%,-5.8%,-10.1%
01/12/11,3.737 €/m2,-2.2%,-3.3%,-7.8%
01/11/11,3.821 €/m2,-1.4%,"2,00%",-5.2%
01/10/11,3.875 €/m2,0.3%,1.1%,-3.9%
01/09/11,3.864 €/m2,3.2%,-0.3%,-3.9%
01/08/11,3.745 €/m2,-2.2%,-3.6%,-7.6%
01/07/11,3.831 €/m2,-1.2%,-1.7%,-6.1%
01/06/11,3.877 €/m2,-0.2%,-1.8%,n.d.
01/05/11,3.884 €/m2,-0.3%,-2.9%,n.d.
01/04/11,3.896 €/m2,-1.3%,"-4,00%",n.d.
01/03/11,3.947 €/m2,-1.3%,-2.7%,n.d.
01/02/11,4.001 €/m2,-1.4%,-0.7%,n.d.
01/01/11,4.059 €/m2,0.1%,0.7%,n.d.
01/12/10,4.055 €/m2,0.6%,0.9%,n.d.
01/11/10,4.030 €/m2,"0,00%",-0.6%,n.d.
01/10/10,4.031 €/m2,0.3%,-1.2%,n.d.
01/09/10,4.020 €/m2,-0.9%,n.d.,n.d.
01/08/10,4.055 €/m2,-0.6%,n.d.,n.d.
01/07/10,4.079 €/m2,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
