Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/06/17,10.3 €/m2,-3.1%,-3.9%,6.1%
01/05/17,10.6 €/m2,-0.8%,2.8%,8.5%
01/04/17,10.7 €/m2,n.d.,7.1%,11.7%
01/03/17,10.7 €/m2,3.7%,7.1%,13.4%
01/02/17,10.3 €/m2,3.3%,3.3%,5.8%
01/01/17,10.0 €/m2,n.d.,n.d.,3.6%
01/12/16,10.0 €/m2,n.d.,n.d.,6.7%
01/11/16,10.0 €/m2,n.d.,n.d.,5.6%
01/10/16,10.0 €/m2,n.d.,2.9%,4.6%
01/09/16,10.0 €/m2,n.d.,3.1%,1.4%
01/08/16,10.0 €/m2,2.9%,2.1%,n.d.
01/07/16,9.7 €/m2,0.2%,1.4%,-0.4%
01/06/16,9.7 €/m2,-0.9%,2.7%,-0.2%
01/05/16,9.8 €/m2,2.1%,0.3%,-2.1%
01/04/16,9.6 €/m2,1.5%,-0.6%,-0.8%
01/03/16,9.4 €/m2,-3.3%,0.7%,-2.2%
01/02/16,9.8 €/m2,1.2%,3.1%,1.3%
01/01/16,9.6 €/m2,2.9%,0.9%,0.1%
01/12/15,9.4 €/m2,"-1,00%",-4.9%,-6.3%
01/11/15,9.5 €/m2,-0.9%,-5.3%,-5.3%
01/10/15,9.6 €/m2,"-3,00%",-2.1%,-4.4%
01/09/15,9.9 €/m2,-1.4%,1.4%,"2,00%"
01/08/15,10.0 €/m2,2.4%,n.d.,1.3%
01/07/15,9.8 €/m2,0.4%,"1,00%",-2.3%
01/06/15,9.7 €/m2,-2.8%,0.7%,-2.8%
01/05/15,10.0 €/m2,3.4%,3.7%,n.d.
01/04/15,9.7 €/m2,0.1%,0.2%,-3.3%
01/03/15,9.7 €/m2,0.2%,-3.4%,-3.3%
01/02/15,9.6 €/m2,"0,00%",-3.6%,-3.5%
01/01/15,9.6 €/m2,-3.6%,-3.6%,-1.9%
01/12/14,10.0 €/m2,n.d.,3.4%,n.d.
01/11/14,10.0 €/m2,n.d.,1.3%,0.1%
01/10/14,10.0 €/m2,3.4%,n.d.,0.2%
01/09/14,9.7 €/m2,-2.1%,-3.3%,-3.2%
01/08/14,9.9 €/m2,-1.3%,-1.3%,-1.1%
01/07/14,10.0 €/m2,n.d.,n.d.,0.1%
01/06/14,10.0 €/m2,n.d.,0.1%,0.1%
01/05/14,10.0 €/m2,n.d.,0.1%,0.2%
01/04/14,10.0 €/m2,0.1%,1.7%,0.2%
01/03/14,10.0 €/m2,"0,00%",-0.1%,-0.1%
01/02/14,10.0 €/m2,1.6%,0.1%,-0.1%
01/01/14,9.8 €/m2,-1.7%,-1.5%,-5.4%
01/12/13,10.0 €/m2,0.1%,0.2%,-5.1%
01/11/13,10.0 €/m2,"0,00%","0,00%",-7.8%
01/10/13,10.0 €/m2,"0,00%","0,00%",-9.2%
01/09/13,10.0 €/m2,"0,00%","0,00%",-11.6%
01/08/13,10.0 €/m2,"0,00%","0,00%",-10.9%
01/07/13,10.0 €/m2,"0,00%","0,00%","-12,00%"
01/06/13,10.0 €/m2,"0,00%",-0.1%,-11.2%
01/05/13,10.0 €/m2,"0,00%",-0.2%,-11.3%
01/04/13,10.0 €/m2,-0.2%,"-4,00%",-12.7%
01/03/13,10.0 €/m2,n.d.,-5.1%,n.d.
01/02/13,10.0 €/m2,-3.8%,-7.7%,n.d.
01/01/13,10.4 €/m2,-1.3%,-5.5%,n.d.
01/12/12,10.5 €/m2,-2.7%,-6.6%,n.d.
01/11/12,10.8 €/m2,-1.5%,-3.3%,n.d.
01/10/12,11.0 €/m2,-2.6%,-3.1%,n.d.
01/09/12,11.3 €/m2,0.8%,0.4%,n.d.
01/08/12,11.2 €/m2,-1.2%,-0.4%,n.d.
01/07/12,11.3 €/m2,0.9%,-0.7%,n.d.
01/06/12,11.3 €/m2,n.d.,n.d.,n.d.
01/05/12,11.3 €/m2,-1.6%,n.d.,n.d.
01/04/12,11.4 €/m2,n.d.,n.d.,n.d.
01/03/12,n.d.,n.d.,n.d.,n.d.
01/02/12,n.d.,n.d.,n.d.,n.d.
01/01/12,n.d.,n.d.,n.d.,n.d.
01/12/11,n.d.,n.d.,n.d.,n.d.
01/11/11,n.d.,n.d.,n.d.,n.d.
01/10/11,n.d.,n.d.,n.d.,n.d.
01/09/11,n.d.,n.d.,n.d.,n.d.
01/08/11,n.d.,n.d.,n.d.,n.d.
01/07/11,n.d.,n.d.,n.d.,n.d.
01/06/11,n.d.,n.d.,n.d.,n.d.
01/05/11,n.d.,n.d.,n.d.,n.d.
01/04/11,n.d.,n.d.,n.d.,n.d.
01/03/11,n.d.,n.d.,n.d.,n.d.
01/02/11,n.d.,n.d.,n.d.,n.d.
