Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/10/16,2.370 €/m2,3.1%,"5,00%",5.3%
01/09/16,2.299 €/m2,2.1%,2.1%,2.2%
01/08/16,2.252 €/m2,-0.2%,"0,00%",0.1%
01/07/16,2.257 €/m2,0.2%,-3.4%,0.3%
01/06/16,2.252 €/m2,"0,00%",-2.6%,0.3%
01/05/16,2.252 €/m2,-3.6%,-3.3%,0.1%
01/04/16,2.336 €/m2,"1,00%",0.9%,1.8%
01/03/16,2.313 €/m2,-0.7%,2.8%,-0.4%
01/02/16,2.328 €/m2,0.6%,3.5%,-0.2%
01/01/16,2.315 €/m2,2.9%,2.9%,-5.3%
01/12/15,2.250 €/m2,n.d.,n.d.,-11.2%
01/11/15,2.250 €/m2,n.d.,n.d.,"-10,00%"
01/10/15,2.250 €/m2,n.d.,n.d.,-9.2%
01/09/15,2.250 €/m2,n.d.,0.2%,-11.1%
01/08/15,2.250 €/m2,n.d.,n.d.,-7.9%
01/07/15,2.250 €/m2,0.2%,-1.9%,"-9,00%"
01/06/15,2.245 €/m2,-0.2%,-3.3%,-9.1%
01/05/15,2.250 €/m2,-1.9%,-3.6%,-9.1%
01/04/15,2.294 €/m2,-1.2%,-6.1%,-8.2%
01/03/15,2.323 €/m2,-0.5%,-8.3%,-8.8%
01/02/15,2.333 €/m2,-4.5%,-6.7%,-8.5%
01/01/15,2.444 €/m2,-3.5%,-1.3%,-4.9%
01/12/14,2.533 €/m2,1.3%,0.1%,-4.2%
01/11/14,2.500 €/m2,0.9%,2.3%,-8.3%
01/10/14,2.477 €/m2,-2.1%,0.2%,-8.1%
01/09/14,2.531 €/m2,3.6%,2.5%,"-7,00%"
01/08/14,2.443 €/m2,-1.2%,-1.3%,-10.2%
01/07/14,2.472 €/m2,0.1%,-1.1%,-13.9%
01/06/14,2.470 €/m2,-0.2%,"-3,00%",-14.5%
01/05/14,2.475 €/m2,-0.9%,-2.9%,-13.2%
01/04/14,2.498 €/m2,-1.8%,-2.8%,-13.4%
01/03/14,2.545 €/m2,-0.2%,-3.7%,-11.9%
01/02/14,2.550 €/m2,-0.8%,-6.5%,-10.6%
01/01/14,2.570 €/m2,-2.8%,-4.6%,-5.6%
01/12/13,2.644 €/m2,-3.1%,-2.9%,-1.7%
01/11/13,2.727 €/m2,1.2%,0.2%,-1.5%
01/10/13,2.694 €/m2,"-1,00%",-6.1%,-6.9%
01/09/13,2.722 €/m2,n.d.,-5.8%,-4.6%
01/08/13,2.722 €/m2,-5.2%,-4.6%,"-6,00%"
01/07/13,2.870 €/m2,-0.7%,-0.5%,-1.8%
01/06/13,2.889 €/m2,1.3%,n.d.,-0.3%
01/05/13,2.853 €/m2,-1.1%,n.d.,-1.3%
01/04/13,2.885 €/m2,-0.1%,"6,00%",n.d.
01/03/13,2.889 €/m2,1.3%,7.4%,0.8%
01/02/13,2.853 €/m2,4.8%,"3,00%",-1.4%
01/01/13,2.722 €/m2,1.2%,"-6,00%",-7.4%
01/12/12,2.690 €/m2,-2.9%,-5.7%,-8.5%
01/11/12,2.770 €/m2,-4.3%,-4.3%,-7.7%
01/10/12,2.894 €/m2,1.5%,-0.9%,-2.4%
01/09/12,2.853 €/m2,-1.4%,-1.6%,-3.8%
01/08/12,2.894 €/m2,-0.9%,0.2%,-2.4%
01/07/12,2.922 €/m2,0.8%,1.3%,-1.9%
01/06/12,2.898 €/m2,0.3%,1.2%,-3.4%
01/05/12,2.889 €/m2,0.1%,-0.1%,-5.2%
01/04/12,2.885 €/m2,0.7%,-1.9%,-6.5%
01/03/12,2.865 €/m2,"-1,00%",-2.6%,-10.1%
01/02/12,2.893 €/m2,-1.6%,-3.6%,-9.3%
01/01/12,2.940 €/m2,"0,00%",-0.9%,"-3,00%"
01/12/11,2.941 €/m2,"-2,00%",-0.8%,"0,00%"
01/11/11,3.000 €/m2,1.1%,1.1%,"2,00%"
01/10/11,2.966 €/m2,"0,00%",-0.4%,n.d.
01/09/11,2.966 €/m2,n.d.,-1.1%,-1.1%
01/08/11,2.966 €/m2,-0.4%,-2.6%,-1.1%
01/07/11,2.978 €/m2,-0.7%,-3.5%,-1.8%
01/06/11,3.000 €/m2,-1.5%,-5.9%,n.d.
01/05/11,3.047 €/m2,-1.2%,-4.4%,n.d.
01/04/11,3.084 €/m2,-3.2%,1.7%,n.d.
01/03/11,3.188 €/m2,n.d.,8.4%,n.d.
01/02/11,3.188 €/m2,5.1%,8.4%,n.d.
01/01/11,3.031 €/m2,3.1%,2.2%,n.d.
01/12/10,2.940 €/m2,n.d.,"-2,00%",n.d.
01/11/10,2.940 €/m2,-0.9%,"-2,00%",n.d.
01/10/10,2.966 €/m2,-1.1%,-2.2%,n.d.
01/09/10,3.000 €/m2,n.d.,n.d.,n.d.
01/08/10,3.000 €/m2,"-1,00%",n.d.,n.d.
01/07/10,3.031 €/m2,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
01/12/07,n.d.,n.d.,n.d.,n.d.
01/11/07,n.d.,n.d.,n.d.,n.d.
01/10/07,n.d.,n.d.,n.d.,n.d.
01/09/07,n.d.,n.d.,n.d.,n.d.
01/08/07,n.d.,n.d.,n.d.,n.d.
01/07/07,n.d.,n.d.,n.d.,n.d.
01/06/07,n.d.,n.d.,n.d.,n.d.
01/05/07,n.d.,n.d.,n.d.,n.d.
01/04/07,n.d.,n.d.,n.d.,n.d.
01/03/07,n.d.,n.d.,n.d.,n.d.
01/02/07,n.d.,n.d.,n.d.,n.d.
01/01/07,n.d.,n.d.,n.d.,n.d.
01/12/06,n.d.,n.d.,n.d.,n.d.
01/11/06,n.d.,n.d.,n.d.,n.d.
01/10/06,n.d.,n.d.,n.d.,n.d.
01/09/06,n.d.,n.d.,n.d.,n.d.
01/08/06,n.d.,n.d.,n.d.,n.d.
01/07/06,n.d.,n.d.,n.d.,n.d.
01/06/06,n.d.,n.d.,n.d.,n.d.
01/05/06,n.d.,n.d.,n.d.,n.d.
01/04/06,n.d.,n.d.,n.d.,n.d.
01/03/06,n.d.,n.d.,n.d.,n.d.
01/02/06,n.d.,n.d.,n.d.,n.d.
01/01/06,n.d.,n.d.,n.d.,n.d.
