Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/06/14,10.8 €/m2,n.d.,-1.5%,-7.1%
01/05/14,10.8 €/m2,n.d.,-2.5%,-4.7%
01/04/14,10.8 €/m2,-1.5%,-3.7%,-3.3%
01/03/14,11.0 €/m2,"-1,00%",-3.8%,-8.9%
01/02/14,11.1 €/m2,-1.2%,-2.5%,-6.4%
01/01/14,11.3 €/m2,-1.6%,-2.5%,-3.9%
01/12/13,11.4 €/m2,0.3%,n.d.,-3.3%
01/11/13,11.4 €/m2,-1.2%,-1.2%,"-5,00%"
01/10/13,11.5 €/m2,"1,00%",0.3%,-8.4%
01/09/13,11.4 €/m2,"-1,00%","-2,00%",-18.1%
01/08/13,11.5 €/m2,0.3%,1.5%,"-15,00%"
01/07/13,11.5 €/m2,-1.3%,2.7%,-13.7%
01/06/13,11.7 €/m2,2.7%,-3.4%,-10.1%
01/05/13,11.4 €/m2,1.4%,-4.3%,-12.6%
01/04/13,11.2 €/m2,-7.2%,-4.2%,-14.1%
01/03/13,12.1 €/m2,1.7%,2.1%,-10.6%
01/02/13,11.9 €/m2,1.5%,"-1,00%",-7.6%
01/01/13,11.7 €/m2,"-1,00%",-7.1%,-17.1%
01/12/12,11.8 €/m2,-1.5%,-15.3%,-16.6%
01/11/12,12.0 €/m2,-4.8%,-11.6%,"-15,00%"
01/10/12,12.6 €/m2,-9.7%,-5.5%,"-10,00%"
01/09/12,14.0 €/m2,2.9%,7.6%,n.d.
01/08/12,13.6 €/m2,1.8%,4.4%,n.d.
01/07/12,13.3 €/m2,2.8%,2.2%,n.d.
01/06/12,13.0 €/m2,-0.2%,-3.9%,n.d.
01/05/12,13.0 €/m2,-0.4%,1.1%,n.d.
01/04/12,13.1 €/m2,-3.3%,-7.6%,n.d.
01/03/12,13.5 €/m2,"5,00%",-4.7%,n.d.
01/02/12,12.9 €/m2,-8.9%,-8.9%,n.d.
01/01/12,14.1 €/m2,-0.3%,0.8%,n.d.
01/12/11,14.2 €/m2,0.3%,n.d.,n.d.
01/11/11,14.1 €/m2,0.8%,n.d.,n.d.
01/10/11,14.0 €/m2,n.d.,n.d.,n.d.
01/09/11,n.d.,n.d.,n.d.,n.d.
01/08/11,n.d.,n.d.,n.d.,n.d.
01/07/11,n.d.,n.d.,n.d.,n.d.
01/06/11,n.d.,n.d.,n.d.,n.d.
01/05/11,n.d.,n.d.,n.d.,n.d.
01/04/11,n.d.,n.d.,n.d.,n.d.
01/03/11,n.d.,n.d.,n.d.,n.d.
01/02/11,n.d.,n.d.,n.d.,n.d.
01/01/11,n.d.,n.d.,n.d.,n.d.
01/12/10,n.d.,n.d.,n.d.,n.d.
01/11/10,n.d.,n.d.,n.d.,n.d.
01/10/10,n.d.,n.d.,n.d.,n.d.
01/09/10,n.d.,n.d.,n.d.,n.d.
01/08/10,n.d.,n.d.,n.d.,n.d.
01/07/10,n.d.,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
01/12/07,n.d.,n.d.,n.d.,n.d.
01/11/07,n.d.,n.d.,n.d.,n.d.
01/10/07,n.d.,n.d.,n.d.,n.d.
01/09/07,n.d.,n.d.,n.d.,n.d.
01/08/07,n.d.,n.d.,n.d.,n.d.
01/07/07,n.d.,n.d.,n.d.,n.d.
01/06/07,n.d.,n.d.,n.d.,n.d.
01/05/07,n.d.,n.d.,n.d.,n.d.
01/04/07,n.d.,n.d.,n.d.,n.d.
01/03/07,n.d.,n.d.,n.d.,n.d.
01/02/07,n.d.,n.d.,n.d.,n.d.
01/01/07,n.d.,n.d.,n.d.,n.d.
01/12/06,n.d.,n.d.,n.d.,n.d.
01/11/06,n.d.,n.d.,n.d.,n.d.
01/10/06,n.d.,n.d.,n.d.,n.d.
01/09/06,n.d.,n.d.,n.d.,n.d.
01/08/06,n.d.,n.d.,n.d.,n.d.
01/07/06,n.d.,n.d.,n.d.,n.d.
01/06/06,n.d.,n.d.,n.d.,n.d.
01/05/06,n.d.,n.d.,n.d.,n.d.
01/04/06,n.d.,n.d.,n.d.,n.d.
01/03/06,n.d.,n.d.,n.d.,n.d.
01/02/06,n.d.,n.d.,n.d.,n.d.
01/01/06,n.d.,n.d.,n.d.,n.d.
