Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/10/16,2.626 €/m2,"1,00%",0.2%,"-4,00%"
01/09/16,2.601 €/m2,"-1,00%","-1,00%",-7.5%
01/08/16,2.626 €/m2,0.2%,-0.4%,-5.2%
01/07/16,2.621 €/m2,-0.2%,-1.3%,-5.4%
01/06/16,2.626 €/m2,-0.3%,-1.8%,-6.7%
01/05/16,2.635 €/m2,-0.7%,-1.6%,-6.6%
01/04/16,2.655 €/m2,-0.8%,-1.2%,-4.7%
01/03/16,2.675 €/m2,-0.1%,-1.5%,-3.5%
01/02/16,2.677 €/m2,-0.3%,-1.8%,-3.5%
01/01/16,2.686 €/m2,-1.1%,-1.8%,-3.3%
01/12/15,2.715 €/m2,-0.4%,-3.5%,-2.5%
01/11/15,2.727 €/m2,-0.3%,-1.6%,-3.1%
01/10/15,2.735 €/m2,-2.8%,-1.3%,-2.3%
01/09/15,2.813 €/m2,1.5%,-0.1%,1.1%
01/08/15,2.771 €/m2,"0,00%",-1.8%,-0.1%
01/07/15,2.771 €/m2,-1.6%,-0.5%,-1.2%
01/06/15,2.816 €/m2,-0.2%,1.6%,-0.6%
01/05/15,2.822 €/m2,1.3%,1.7%,-0.6%
01/04/15,2.785 €/m2,0.5%,0.3%,-1.4%
01/03/15,2.772 €/m2,-0.1%,-0.4%,-2.2%
01/02/15,2.775 €/m2,-0.1%,-1.4%,-2.1%
01/01/15,2.778 €/m2,-0.2%,-0.8%,-3.2%
01/12/14,2.784 €/m2,-1.1%,"0,00%",-2.9%
01/11/14,2.815 €/m2,0.5%,1.5%,-2.2%
01/10/14,2.799 €/m2,0.6%,-0.2%,"-3,00%"
01/09/14,2.784 €/m2,0.3%,-1.8%,-4.4%
01/08/14,2.774 €/m2,-1.1%,-2.2%,-4.2%
01/07/14,2.804 €/m2,-1.1%,-0.7%,-4.2%
01/06/14,2.834 €/m2,-0.1%,"0,00%",-5.1%
01/05/14,2.838 €/m2,0.5%,0.2%,-5.7%
01/04/14,2.823 €/m2,-0.4%,-1.6%,-5.9%
01/03/14,2.834 €/m2,"0,00%",-1.2%,-7.2%
01/02/14,2.834 €/m2,-1.2%,-1.5%,"-8,00%"
01/01/14,2.869 €/m2,"0,00%",-0.6%,-8.2%
01/12/13,2.868 €/m2,-0.3%,-1.5%,-8.8%
01/11/13,2.878 €/m2,-0.3%,-0.7%,-9.1%
01/10/13,2.886 €/m2,-0.9%,-1.4%,-8.5%
01/09/13,2.913 €/m2,0.6%,-2.5%,"-8,00%"
01/08/13,2.897 €/m2,"-1,00%",-3.8%,"-9,00%"
01/07/13,2.927 €/m2,"-2,00%",-2.4%,-7.1%
01/06/13,2.987 €/m2,-0.8%,-2.2%,-7.5%
01/05/13,3.011 €/m2,0.3%,-2.3%,-7.3%
01/04/13,3.000 €/m2,-1.8%,"-4,00%","-9,00%"
01/03/13,3.055 €/m2,-0.9%,-2.9%,-7.7%
01/02/13,3.081 €/m2,-1.4%,-2.7%,-6.8%
01/01/13,3.126 €/m2,-0.6%,-0.9%,-5.4%
01/12/12,3.145 €/m2,-0.7%,-0.6%,-5.7%
01/11/12,3.166 €/m2,0.4%,-0.5%,-6.3%
01/10/12,3.155 €/m2,-0.3%,0.1%,-5.4%
01/09/12,3.165 €/m2,-0.5%,-1.9%,-4.8%
01/08/12,3.182 €/m2,"1,00%","-2,00%",-3.8%
01/07/12,3.151 €/m2,-2.4%,-4.5%,-5.2%
01/06/12,3.228 €/m2,-0.6%,-2.4%,-4.1%
01/05/12,3.249 €/m2,-1.5%,-1.7%,-3.8%
01/04/12,3.298 €/m2,-0.3%,-0.2%,-1.6%
01/03/12,3.308 €/m2,0.1%,-0.8%,-0.7%
01/02/12,3.306 €/m2,0.1%,-2.1%,-2.8%
01/01/12,3.304 €/m2,-0.9%,-0.9%,-2.9%
01/12/11,3.333 €/m2,-1.3%,0.2%,-1.2%
01/11/11,3.379 €/m2,1.3%,2.1%,0.2%
01/10/11,3.335 €/m2,0.3%,0.3%,-1.1%
01/09/11,3.326 €/m2,0.5%,-1.2%,-2.5%
01/08/11,3.308 €/m2,-0.5%,"-2,00%",-3.1%
01/07/11,3.325 €/m2,-1.3%,-0.8%,-2.5%
01/06/11,3.367 €/m2,-0.2%,1.1%,3.5%
01/05/11,3.375 €/m2,0.7%,-0.7%,3.8%
01/04/11,3.351 €/m2,0.6%,-1.5%,8.5%
01/03/11,3.332 €/m2,"-2,00%",-1.3%,0.9%
01/02/11,3.400 €/m2,-0.1%,0.8%,n.d.
01/01/11,3.403 €/m2,0.8%,0.9%,n.d.
01/12/10,3.374 €/m2,0.1%,-1.1%,n.d.
01/11/10,3.372 €/m2,"0,00%",-1.3%,n.d.
01/10/10,3.371 €/m2,-1.2%,-1.2%,n.d.
01/09/10,3.412 €/m2,-0.1%,4.9%,n.d.
01/08/10,3.416 €/m2,0.1%,"5,00%",n.d.
01/07/10,3.411 €/m2,4.9%,10.4%,n.d.
01/06/10,3.253 €/m2,"0,00%",-1.5%,n.d.
01/05/10,3.253 €/m2,5.3%,n.d.,n.d.
01/04/10,3.090 €/m2,-6.4%,n.d.,n.d.
01/03/10,3.301 €/m2,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
