"Renta personal media de la C.A. de Euskadi (euros) por barrios, tipo de renta y periodo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Renta capital inmobiliario,396,463,488,444,466,524,543,585,554,651,592,641,688
,Renta de actividades,837,816,679,626,746,712,757,806,875,919,782,980,865
,Transferencias,4228,5646,6299,7115,7128,7621,7800,8168,8351,8734,9292,9243,10025
,Renta disponible,16053,18062,17908,17790,18256,18083,18243,18672,18641,19869,19661,20033,22327
Bilbao la Vieja,Renta total,10328,12300,12982,13673,13631,13846,14236,15108,15076,16333,16099,17590,19897
,Renta del trabajo,6477,8627,9658,10084,10006,9284,9733,10483,10585,11567,10782,11887,13106
,Renta capital mobiliario,821,495,361,361,314,224,252,324,217,181,158,216,1005
,Renta capital inmobiliario,58,86,95,117,122,126,142,175,201,231,201,218,292
,Renta de actividades,466,422,436,430,475,564,558,599,638,753,635,863,891
,Transferencias,2507,2670,2431,2681,2715,3648,3550,3527,3435,3601,4325,4406,4603
,Renta disponible,9019,10849,11343,11922,11913,12107,12379,13049,12944,14007,13964,15089,16967
Bolueta,Renta total,13137,14453,14264,13987,14052,14260,14561,14943,15040,16012,16375,17570,19347
,Renta del trabajo,8603,9341,8984,8387,8236,8131,8461,8642,8933,9818,9880,11094,12760
,Renta capital mobiliario,696,585,509,529,527,357,312,315,233,257,178,299,325
,Renta capital inmobiliario,89,99,134,107,130,156,154,148,137,177,172,195,243
,Renta de actividades,688,557,536,507,640,665,688,721,686,703,666,725,698
,Transferencias,3061,3870,4101,4458,4519,4950,4946,5117,5052,5057,5479,5258,5321
,Renta disponible,11427,12793,12582,12292,12375,12550,12807,13126,13163,14003,14419,15267,16733
Casco Viejo Bilbao,Renta total,19818,22805,22409,21946,22009,22830,22691,24509,24203,25386,25201,26461,28350
,Renta del trabajo,12858,15478,15698,15380,15321,15272,15469,16434,16103,16767,15895,17068,18520
,Renta capital mobiliario,2308,2184,1665,1191,1148,1519,942,1172,1073,1072,1269,1131,1247
,Renta capital inmobiliario,282,371,439,479,523,570,637,742,785,858,732,804,925
,Renta de actividades,1523,1556,1465,1449,1515,1405,1419,1602,1699,1762,1574,1808,1795
,Transferencias,2848,3216,3143,3447,3502,4063,4224,4561,4544,4927,5731,5650,5864
,Renta disponible,16315,18993,18462,17907,18042,18650,18546,19952,19517,20624,20550,21439,22982
Castaños,Renta total,25705,27763,27482,27547,27197,28702,28107,29160,29692,29986,28878,30646,32469
,Renta del trabajo,15025,16615,16696,15914,15547,16178,16353,16722,16650,16645,15825,16295,17068
,Renta capital mobiliario,4280,3559,2619,3178,2410,3053,2146,2357,2498,2654,1812,2679,3196
,Renta capital inmobiliario,552,684,753,701,775,796,885,902,928,999,895,971,1073
,Renta de actividades,1355,1558,1628,1467,1932,1930,1901,1967,2127,1568,1462,1682,1601
,Transferencias,4493,5347,5786,6288,6534,6745,6822,7212,7489,8120,8884,9018,9531
,Renta disponible,20640,22671,22117,21826,21610,22684,22296,23074,23347,23962,23212,24566,25951
Ciudad Jardín,Renta total,19738,21539,22546,22390,21969,22139,22336,22323,22744,23899,24082,24992,27424
,Renta del trabajo,13862,15134,16099,14252,14286,14561,14588,14329,14656,15058,15095,15725,17543
,Renta capital mobiliario,1673,1389,1218,2638,1727,1615,1598,1443,1425,1730,1056,719,1614
,Renta capital inmobiliario,247,407,418,353,466,452,498,484,456,541,465,601,655
,Renta de actividades,1052,1211,921,636,745,631,588,633,797,815,860,1137,970
,Transferencias,2906,3398,3889,4511,4746,4880,5064,5433,5410,5754,6607,6810,6642
,Renta disponible,16219,17894,18638,18246,18130,18199,18498,18434,18653,19788,19857,20528,22445
Errekaldeberri,Renta total,14103,15688,15532,15286,15458,15708,15863,16293,16282,17363,17117,18012,19054
,Renta del trabajo,8736,9981,10077,9706,9816,9548,9813,10142,10250,11015,10234,10969,11887
,Renta capital mobiliario,1164,889,665,707,670,666,526,474,426,485,462,543,483
,Renta capital inmobiliario,142,161,170,154,193,205,211,233,228,271,269,289,312
,Renta de actividades,688,629,609,540,578,644,667,686,691,740,674,780,722
,Transferencias,3372,4027,4011,4179,4200,4645,4646,4758,4686,4852,5478,5431,5651
,Renta disponible,12157,13760,13493,13218,13377,13593,13697,14053,13973,14920,14799,15470,16345
Ibarrekolanda,Renta total,18673,19871,20101,20084,20282,20190,20435,21113,21124,22020,22585,23667,25148
,Renta del trabajo,11484,12801,12580,11949,12045,11873,11893,12270,12084,12450,12449,13256,14199
