01/10/16,11.0 €/m2,1.5%,2.7%,"4,00%"
01/09/16,10.8 €/m2,0.6%,1.6%,3.7%
01/08/16,10.8 €/m2,0.5%,0.5%,3.8%
01/07/16,10.7 €/m2,0.4%,"0,00%",3.6%
01/06/16,10.7 €/m2,-0.4%,0.4%,2.7%
01/05/16,10.7 €/m2,"0,00%",0.5%,1.8%
01/04/16,10.7 €/m2,0.8%,1.1%,0.8%
01/03/16,10.6 €/m2,-0.4%,1.6%,0.4%
01/02/16,10.7 €/m2,0.6%,0.8%,0.7%
01/01/16,10.6 €/m2,1.3%,0.2%,-0.3%
01/12/15,10.5 €/m2,-1.1%,0.2%,"-2,00%"
01/11/15,10.6 €/m2,"0,00%",1.9%,-0.5%
01/10/15,10.6 €/m2,1.3%,2.3%,0.2%
01/09/15,10.4 €/m2,0.6%,0.6%,-0.5%
01/08/15,10.4 €/m2,0.4%,-1.4%,-0.2%
01/07/15,10.3 €/m2,-0.5%,-2.7%,-0.5%
01/06/15,10.4 €/m2,-1.3%,-1.9%,-1.1%
01/05/15,10.5 €/m2,-0.9%,-0.5%,-0.3%
01/04/15,10.6 €/m2,0.4%,"0,00%",1.1%
01/03/15,10.6 €/m2,"0,00%",-0.8%,2.2%
01/02/15,10.6 €/m2,-0.4%,-0.4%,0.5%
01/01/15,10.6 €/m2,-0.4%,0.7%,0.3%
01/12/14,10.7 €/m2,0.4%,1.6%,0.4%
01/11/14,10.6 €/m2,0.7%,2.2%,"0,00%"
01/10/14,10.6 €/m2,0.5%,1.6%,-0.6%
01/09/14,10.5 €/m2,"1,00%","0,00%",-1.5%
01/08/14,10.4 €/m2,0.1%,-1.5%,-2.1%
01/07/14,10.4 €/m2,-1.1%,-1.2%,-2.2%
01/06/14,10.5 €/m2,-0.6%,1.4%,-1.2%
01/05/14,10.6 €/m2,0.5%,0.3%,-0.6%
01/04/14,10.5 €/m2,1.4%,-0.8%,-1.9%
01/03/14,10.4 €/m2,-1.6%,-2.5%,-3.8%
01/02/14,10.5 €/m2,-0.6%,-0.9%,-2.8%
01/01/14,10.6 €/m2,-0.3%,-0.3%,-3.7%
01/12/13,10.6 €/m2,"0,00%",-0.4%,-4.9%
01/11/13,10.6 €/m2,"0,00%","0,00%",-5.9%
01/10/13,10.6 €/m2,-0.4%,"0,00%",-7.6%
01/09/13,10.7 €/m2,0.4%,0.4%,-8.6%
01/08/13,10.6 €/m2,"0,00%","0,00%",-8.9%
01/07/13,10.6 €/m2,"0,00%",-0.8%,"-9,00%"
01/06/13,10.6 €/m2,"0,00%",-1.3%,-10.6%
01/05/13,10.6 €/m2,-0.8%,"-2,00%",-11.6%
01/04/13,10.7 €/m2,-0.5%,-2.6%,-11.5%
01/03/13,10.8 €/m2,-0.6%,-3.6%,-10.9%
01/02/13,10.8 €/m2,-1.5%,"-4,00%",-10.8%
01/01/13,11.0 €/m2,-1.6%,-4.3%,-10.1%
01/12/12,11.2 €/m2,"-1,00%",-4.2%,-9.6%
01/11/12,11.3 €/m2,-1.8%,-3.2%,-7.6%
01/10/12,11.5 €/m2,-1.4%,-1.5%,-5.3%
01/09/12,11.7 €/m2,"0,00%",-1.8%,-2.8%
01/08/12,11.7 €/m2,"0,00%",-2.9%,-2.8%
01/07/12,11.7 €/m2,-1.8%,-3.6%,-2.8%
01/06/12,11.9 €/m2,-1.1%,-1.7%,"-1,00%"
01/05/12,12.0 €/m2,-0.8%,-1.1%,-1.4%
01/04/12,12.1 €/m2,0.2%,"-1,00%",-2.1%
01/03/12,12.1 €/m2,-0.5%,-2.2%,-3.3%
01/02/12,12.1 €/m2,-0.7%,-0.5%,-2.8%
01/01/12,12.2 €/m2,-1.1%,0.7%,-1.1%
01/12/11,12.4 €/m2,1.2%,"3,00%",0.9%
01/11/11,12.2 €/m2,0.6%,1.8%,n.d.
01/10/11,12.1 €/m2,1.2%,1.2%,n.d.
01/09/11,12.0 €/m2,n.d.,n.d.,n.d.
01/08/11,12.0 €/m2,n.d.,-1.5%,n.d.
01/07/11,12.0 €/m2,n.d.,-2.9%,n.d.
01/06/11,12.0 €/m2,-1.5%,"-4,00%",n.d.
01/05/11,12.2 €/m2,-1.5%,-2.5%,n.d.
01/04/11,12.4 €/m2,-1.1%,n.d.,n.d.
01/03/11,12.5 €/m2,n.d.,"2,00%",n.d.
01/02/11,12.5 €/m2,1.1%,n.d.,n.d.
01/01/11,12.4 €/m2,0.9%,n.d.,n.d.
01/12/10,12.3 €/m2,n.d.,n.d.,n.d.
01/11/10,n.d.,n.d.,n.d.,n.d.
01/10/10,n.d.,n.d.,n.d.,n.d.
