Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/10/16,10.8 €/m2,4.3%,4.8%,3.7%
01/09/16,10.4 €/m2,0.6%,-0.3%,3.8%
01/08/16,10.3 €/m2,-0.1%,-2.8%,4.4%
01/07/16,10.3 €/m2,-0.8%,-2.7%,3.9%
01/06/16,10.4 €/m2,-1.9%,-0.4%,4.6%
01/05/16,10.6 €/m2,n.d.,4.3%,6.2%
01/04/16,10.6 €/m2,1.5%,2.6%,6.2%
01/03/16,10.5 €/m2,2.8%,1.8%,4.6%
01/02/16,10.2 €/m2,-1.7%,-2.5%,1.7%
01/01/16,10.3 €/m2,0.7%,-0.9%,3.5%
01/12/15,10.3 €/m2,-1.5%,2.8%,"0,00%"
01/11/15,10.4 €/m2,-0.1%,5.5%,0.7%
01/10/15,10.4 €/m2,4.4%,"5,00%",1.3%
01/09/15,10.0 €/m2,1.1%,0.4%,n.d.
01/08/15,9.9 €/m2,-0.6%,-1.1%,-1.1%
01/07/15,9.9 €/m2,-0.1%,-0.5%,-0.5%
01/06/15,10.0 €/m2,-0.4%,-0.4%,-0.4%
01/05/15,10.0 €/m2,n.d.,n.d.,n.d.
01/04/15,10.0 €/m2,n.d.,n.d.,n.d.
01/03/15,10.0 €/m2,n.d.,-2.7%,n.d.
01/02/15,10.0 €/m2,n.d.,-3.4%,-4.3%
01/01/15,10.0 €/m2,-2.7%,"-3,00%",-5.5%
01/12/14,10.3 €/m2,-0.8%,2.8%,-2.8%
01/11/14,10.4 €/m2,0.4%,3.6%,-0.4%
01/10/14,10.3 €/m2,3.1%,3.1%,-1.9%
01/09/14,10.0 €/m2,n.d.,n.d.,-5.6%
01/08/14,10.0 €/m2,n.d.,n.d.,-5.6%
01/07/14,10.0 €/m2,n.d.,n.d.,-5.6%
01/06/14,10.0 €/m2,n.d.,n.d.,-5.6%
01/05/14,10.0 €/m2,n.d.,-4.3%,-4.8%
01/04/14,10.0 €/m2,n.d.,-5.5%,-5.9%
01/03/14,10.0 €/m2,-4.3%,-5.4%,-5.9%
01/02/14,10.5 €/m2,-1.2%,0.5%,-2.4%
01/01/14,10.6 €/m2,0.1%,0.6%,-1.3%
01/12/13,10.6 €/m2,1.6%,-0.2%,-1.9%
01/11/13,10.4 €/m2,"-1,00%",-1.8%,-6.4%
01/10/13,10.5 €/m2,-0.7%,-0.7%,-6.6%
01/09/13,10.6 €/m2,n.d.,n.d.,-5.8%
01/08/13,10.6 €/m2,n.d.,0.8%,-5.8%
01/07/13,10.6 €/m2,n.d.,-0.3%,-6.6%
01/06/13,10.6 €/m2,0.8%,-0.3%,-9.2%
01/05/13,10.5 €/m2,-1.2%,"-2,00%","-10,00%"
01/04/13,10.6 €/m2,n.d.,-0.8%,-8.9%
01/03/13,10.6 €/m2,-0.8%,-1.3%,-7.4%
01/02/13,10.7 €/m2,n.d.,-3.6%,-8.2%
01/01/13,10.7 €/m2,-0.5%,-4.8%,-2.6%
01/12/12,10.8 €/m2,-3.1%,-4.2%,-3.1%
01/11/12,11.1 €/m2,-1.2%,-1.2%,-0.6%
01/10/12,11.3 €/m2,"0,00%",-0.7%,0.7%
01/09/12,11.2 €/m2,"0,00%",-3.6%,-2.5%
01/08/12,11.2 €/m2,-0.8%,-3.6%,-1.6%
01/07/12,11.3 €/m2,-2.9%,-2.9%,"1,00%"
01/06/12,11.7 €/m2,n.d.,1.7%,2.1%
01/05/12,11.7 €/m2,n.d.,n.d.,n.d.
01/04/12,11.7 €/m2,1.7%,6.1%,n.d.
01/03/12,11.5 €/m2,-1.7%,3.2%,n.d.
01/02/12,11.7 €/m2,6.1%,4.4%,n.d.
01/01/12,11.0 €/m2,"-1,00%",-1.6%,n.d.
01/12/11,11.1 €/m2,-0.6%,-3.7%,n.d.
01/11/11,11.2 €/m2,n.d.,-2.2%,n.d.
01/10/11,11.2 €/m2,-3.1%,-0.4%,n.d.
01/09/11,11.5 €/m2,"1,00%","1,00%",n.d.
01/08/11,11.4 €/m2,1.8%,n.d.,n.d.
01/07/11,11.2 €/m2,-1.8%,n.d.,n.d.
01/06/11,11.4 €/m2,n.d.,n.d.,n.d.
01/05/11,n.d.,n.d.,n.d.,n.d.
01/04/11,n.d.,n.d.,n.d.,n.d.
01/03/11,n.d.,n.d.,n.d.,n.d.
01/02/11,n.d.,n.d.,n.d.,n.d.
01/01/11,n.d.,n.d.,n.d.,n.d.
01/12/10,n.d.,n.d.,n.d.,n.d.
01/11/10,n.d.,n.d.,n.d.,n.d.
01/10/10,n.d.,n.d.,n.d.,n.d.
01/09/10,n.d.,n.d.,n.d.,n.d.
01/08/10,n.d.,n.d.,n.d.,n.d.
01/07/10,n.d.,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
