Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/09/16,12.1 €/m2,-0.3%,2.5%,"3,00%"
01/08/16,12.1 €/m2,-0.2%,4.1%,"3,00%"
01/07/16,12.1 €/m2,"3,00%",3.5%,2.9%
01/06/16,11.8 €/m2,1.2%,"-1,00%","1,00%"
01/05/16,11.6 €/m2,-0.7%,-2.2%,1.9%
01/04/16,11.7 €/m2,-1.4%,-1.2%,-0.7%
01/03/16,11.9 €/m2,n.d.,1.2%,0.3%
01/02/16,11.9 €/m2,0.3%,1.4%,-0.8%
01/01/16,11.9 €/m2,0.9%,1.8%,0.3%
01/12/15,11.8 €/m2,0.2%,0.3%,"-2,00%"
01/11/15,11.7 €/m2,0.6%,-0.2%,-0.8%
01/10/15,11.7 €/m2,-0.6%,-1.2%,n.d.
01/09/15,11.7 €/m2,-0.3%,0.6%,1.7%
01/08/15,11.8 €/m2,-0.3%,2.9%,"2,00%"
01/07/15,11.8 €/m2,1.2%,-0.1%,3.3%
01/06/15,11.7 €/m2,2.1%,-1.8%,n.d.
01/05/15,11.4 €/m2,-3.3%,-4.8%,-0.6%
01/04/15,11.8 €/m2,-0.5%,-0.2%,3.4%
01/03/15,11.9 €/m2,"-1,00%","-1,00%",4.8%
01/02/15,12.0 €/m2,1.4%,1.4%,5.9%
01/01/15,11.8 €/m2,-1.3%,1.5%,3.6%
01/12/14,12.0 €/m2,1.4%,"4,00%",3.8%
01/11/14,11.8 €/m2,1.5%,2.6%,2.6%
01/10/14,11.7 €/m2,1.1%,2.1%,2.9%
01/09/14,11.5 €/m2,n.d.,-1.1%,2.2%
01/08/14,11.5 €/m2,"1,00%",0.3%,-0.3%
01/07/14,11.4 €/m2,"-2,00%",n.d.,"-2,00%"
01/06/14,11.7 €/m2,1.4%,2.9%,-0.4%
01/05/14,11.5 €/m2,0.6%,1.5%,-0.3%
01/04/14,11.4 €/m2,0.8%,n.d.,-1.2%
01/03/14,11.3 €/m2,n.d.,"-2,00%",-1.4%
01/02/14,11.3 €/m2,-0.8%,-1.8%,"-4,00%"
01/01/14,11.4 €/m2,-1.2%,0.8%,-4.8%
01/12/13,11.6 €/m2,0.2%,2.5%,-5.4%
01/11/13,11.5 €/m2,1.8%,-0.3%,-4.9%
01/10/13,11.3 €/m2,0.4%,-2.9%,-6.8%
01/09/13,11.3 €/m2,-2.5%,-3.7%,-7.7%
01/08/13,11.6 €/m2,-0.8%,0.4%,-5.5%
01/07/13,11.7 €/m2,-0.4%,0.9%,-4.5%
01/06/13,11.7 €/m2,1.6%,1.9%,-6.3%
01/05/13,11.5 €/m2,-0.3%,-2.3%,-9.6%
01/04/13,11.6 €/m2,0.5%,-3.7%,-14.8%
01/03/13,11.5 €/m2,-2.6%,-5.9%,-13.7%
01/02/13,11.8 €/m2,-1.7%,-2.7%,-12.3%
01/01/13,12.0 €/m2,-1.7%,-1.3%,-12.4%
01/12/12,12.2 €/m2,0.8%,n.d.,-10.4%
01/11/12,12.1 €/m2,-0.3%,"-1,00%",-6.6%
01/10/12,12.2 €/m2,-0.5%,-0.5%,-4.1%
01/09/12,12.2 €/m2,-0.2%,-2.2%,-7.5%
01/08/12,12.3 €/m2,0.2%,"-4,00%",-5.5%
01/07/12,12.2 €/m2,-2.2%,-9.9%,n.d.
01/06/12,12.5 €/m2,"-2,00%",-6.2%,n.d.
01/05/12,12.8 €/m2,"-6,00%",-5.2%,n.d.
01/04/12,13.6 €/m2,1.8%,"-1,00%",n.d.
01/03/12,13.3 €/m2,"-1,00%",-2.2%,n.d.
