Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/05/22,12.2 €/m2,-0.5%,4.4%,6.6%
01/04/22,12.2 €/m2,1.8%,0.8%,9.5%
01/03/22,12.0 €/m2,"3,00%",-1.2%,4.6%
01/02/22,11.7 €/m2,-3.9%,-3.1%,"2,00%"
01/01/22,12.1 €/m2,-0.2%,1.8%,5.3%
01/12/21,12.2 €/m2,"1,00%",4.6%,3.9%
01/11/21,12.0 €/m2,"1,00%",3.6%,3.2%
01/10/21,11.9 €/m2,2.6%,1.1%,3.3%
01/09/21,11.6 €/m2,0.1%,-1.4%,3.1%
01/08/21,11.6 €/m2,-1.5%,1.7%,0.8%
01/07/21,11.8 €/m2,n.d.,5.5%,4.3%
01/06/21,11.8 €/m2,3.2%,2.6%,1.4%
01/05/21,11.4 €/m2,2.2%,-0.1%,0.5%
01/04/21,11.2 €/m2,-2.7%,-3.1%,0.9%
01/03/21,11.5 €/m2,0.4%,-1.9%,-2.6%
01/02/21,11.4 €/m2,-0.8%,"-2,00%",-5.6%
01/01/21,11.5 €/m2,-1.5%,-0.1%,-4.6%
01/12/20,11.7 €/m2,0.4%,3.8%,-0.5%
01/11/20,11.7 €/m2,"1,00%",1.3%,2.1%
01/10/20,11.5 €/m2,2.4%,2.1%,"5,00%"
01/09/20,11.3 €/m2,-2.1%,"-3,00%",2.6%
01/08/20,11.5 €/m2,1.9%,1.4%,3.7%
01/07/20,11.3 €/m2,-2.7%,"2,00%",1.8%
01/06/20,11.6 €/m2,2.3%,-1.4%,"5,00%"
01/05/20,11.4 €/m2,2.5%,-6.2%,2.7%
01/04/20,11.1 €/m2,"-6,00%",-8.3%,-1.5%
01/03/20,11.8 €/m2,-2.7%,0.2%,5.4%
01/02/20,12.1 €/m2,0.2%,"6,00%",9.6%
01/01/20,12.1 €/m2,2.8%,9.9%,11.2%
01/12/19,11.8 €/m2,2.9%,"7,00%","7,00%"
01/11/19,11.4 €/m2,3.9%,2.9%,2.7%
01/10/19,11.0 €/m2,n.d.,"-1,00%","-1,00%"
01/09/19,11.0 €/m2,"-1,00%",-0.7%,-1.4%
01/08/19,11.1 €/m2,n.d.,0.4%,-1.2%
01/07/19,11.1 €/m2,0.4%,-1.2%,-0.6%
01/06/19,11.1 €/m2,"0,00%","-1,00%",-1.1%
01/05/19,11.1 €/m2,-1.6%,0.1%,-1.1%
01/04/19,11.3 €/m2,0.6%,3.5%,3.8%
01/03/19,11.2 €/m2,1.1%,1.7%,3.7%
01/02/19,11.1 €/m2,1.7%,-0.6%,2.1%
01/01/19,10.9 €/m2,-1.2%,-2.2%,0.4%
01/12/18,11.0 €/m2,-1.2%,-1.4%,2.7%
01/11/18,11.1 €/m2,0.2%,-1.1%,4.3%
01/10/18,11.1 €/m2,-0.4%,-0.6%,"4,00%"
01/09/18,11.2 €/m2,-0.9%,-0.4%,5.5%
01/08/18,11.3 €/m2,0.7%,0.5%,6.9%
01/07/18,11.2 €/m2,-0.2%,3.2%,8.4%
01/06/18,11.2 €/m2,n.d.,3.7%,7.3%
01/05/18,11.2 €/m2,3.3%,3.3%,3.9%
01/04/18,10.8 €/m2,0.4%,0.1%,0.6%
01/03/18,10.8 €/m2,-0.4%,0.7%,0.2%
01/02/18,10.8 €/m2,0.1%,1.6%,2.9%
01/01/18,10.8 €/m2,"1,00%",1.3%,2.8%
01/12/17,10.7 €/m2,0.4%,1.4%,3.2%
