Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/05/20,12.0 €/m2,1.8%,0.6%,9.7%
01/04/20,11.8 €/m2,-0.4%,-2.7%,7.3%
01/03/20,11.8 €/m2,-0.8%,-2.7%,"7,00%"
01/02/20,11.9 €/m2,-1.5%,-1.9%,1.8%
01/01/20,12.1 €/m2,-0.3%,0.8%,"0,00%"
01/12/19,12.1 €/m2,"0,00%",6.2%,3.4%
01/11/19,12.1 €/m2,1.2%,7.1%,5.1%
01/10/19,12.0 €/m2,"5,00%",7.9%,2.6%
01/09/19,11.4 €/m2,0.8%,4.2%,-0.6%
01/08/19,11.3 €/m2,1.9%,3.8%,0.2%
01/07/19,11.1 €/m2,1.4%,1.3%,-5.3%
01/06/19,11.0 €/m2,0.4%,-0.7%,-8.4%
01/05/19,10.9 €/m2,-0.5%,-6.7%,-10.1%
01/04/19,11.0 €/m2,-0.7%,-9.3%,-5.9%
01/03/19,11.0 €/m2,-5.6%,"-6,00%",-5.3%
01/02/19,11.7 €/m2,-3.3%,1.3%,"4,00%"
01/01/19,12.1 €/m2,"3,00%",3.4%,8.2%
01/12/18,11.7 €/m2,1.6%,2.2%,9.6%
01/11/18,11.6 €/m2,-1.2%,2.2%,3.7%
01/10/18,11.7 €/m2,1.7%,-0.4%,9.6%
01/09/18,11.5 €/m2,1.7%,"-4,00%",5.7%
01/08/18,11.3 €/m2,-3.7%,-6.8%,4.4%
01/07/18,11.7 €/m2,-1.9%,0.7%,10.5%
01/06/18,12.0 €/m2,-1.4%,2.7%,12.7%
01/05/18,12.1 €/m2,4.1%,7.9%,13.8%
01/04/18,11.7 €/m2,n.d.,4.4%,9.8%
01/03/18,11.7 €/m2,3.7%,8.9%,10.2%
01/02/18,11.3 €/m2,0.7%,"1,00%",4.5%
01/01/18,11.2 €/m2,4.3%,4.8%,6.4%
01/12/17,10.7 €/m2,-3.8%,-1.5%,0.5%
01/11/17,11.1 €/m2,4.5%,2.9%,1.1%
01/10/17,10.7 €/m2,-1.9%,0.4%,-1.5%
01/09/17,10.9 €/m2,0.4%,2.4%,"1,00%"
01/08/17,10.8 €/m2,"2,00%",1.6%,1.6%
01/07/17,10.6 €/m2,n.d.,"0,00%",-0.8%
01/06/17,10.6 €/m2,-0.4%,0.4%,-0.8%
01/05/17,10.7 €/m2,0.4%,-0.9%,0.4%
01/04/17,10.6 €/m2,0.4%,1.2%,-3.7%
01/03/17,10.6 €/m2,-1.7%,-0.7%,-1.7%
01/02/17,10.8 €/m2,2.5%,-2.3%,-0.2%
01/01/17,10.5 €/m2,-1.5%,"-3,00%",-2.5%
01/12/16,10.7 €/m2,-3.3%,"-1,00%","1,00%"
01/11/16,11.0 €/m2,1.7%,3.3%,3.7%
01/10/16,10.8 €/m2,0.6%,1.1%,0.7%
01/09/16,10.8 €/m2,"1,00%",0.5%,-4.3%
01/08/16,10.7 €/m2,-0.4%,0.4%,-2.2%
01/07/16,10.7 €/m2,n.d.,-2.9%,n.d.
01/06/16,10.7 €/m2,0.8%,-0.5%,-0.5%
01/05/16,10.6 €/m2,-3.8%,-1.4%,-0.8%
01/04/16,11.0 €/m2,2.5%,2.5%,3.9%
01/03/16,10.8 €/m2,-0.1%,"2,00%",2.3%
01/02/16,10.8 €/m2,0.1%,1.5%,1.5%
01/01/16,10.8 €/m2,"2,00%",0.1%,1.4%
01/12/15,10.6 €/m2,-0.7%,-6.2%,-3.1%
01/11/15,10.6 €/m2,-1.3%,-2.6%,-1.9%
01/10/15,10.8 €/m2,-4.3%,0.4%,-0.1%
01/09/15,11.3 €/m2,3.1%,4.5%,"5,00%"
01/08/15,10.9 €/m2,1.8%,1.8%,2.7%
01/07/15,10.7 €/m2,-0.5%,0.8%,n.d.
01/06/15,10.8 €/m2,0.5%,2.3%,0.5%
01/05/15,10.7 €/m2,0.8%,0.8%,-0.5%
01/04/15,10.6 €/m2,0.9%,n.d.,-1.3%
01/03/15,10.5 €/m2,-0.9%,-3.4%,-0.6%
01/02/15,10.6 €/m2,n.d.,-1.9%,-0.4%
01/01/15,10.6 €/m2,-2.5%,-1.3%,-1.6%
01/12/14,10.9 €/m2,0.6%,1.7%,1.5%
01/11/14,10.8 €/m2,0.6%,"2,00%",2.7%
01/10/14,10.8 €/m2,0.5%,0.5%,4.4%
01/09/14,10.7 €/m2,0.8%,n.d.,"1,00%"
01/08/14,10.6 €/m2,-0.8%,-1.3%,0.2%
01/07/14,10.7 €/m2,n.d.,-0.5%,"2,00%"
01/06/14,10.7 €/m2,-0.5%,1.2%,3.8%
01/05/14,10.8 €/m2,n.d.,"1,00%","3,00%"
01/04/14,10.8 €/m2,1.7%,-0.3%,0.5%
01/03/14,10.6 €/m2,-0.7%,-1.3%,-0.7%
01/02/14,10.7 €/m2,-1.2%,1.1%,0.4%
01/01/14,10.8 €/m2,0.6%,4.7%,"-1,00%"
01/12/13,10.7 €/m2,1.7%,1.2%,-3.1%
01/11/13,10.6 €/m2,2.3%,-0.5%,-3.8%
01/10/13,10.3 €/m2,-2.7%,-1.9%,-8.2%
01/09/13,10.6 €/m2,"0,00%",2.8%,-3.6%
01/08/13,10.6 €/m2,0.9%,1.5%,-5.9%
01/07/13,10.5 €/m2,1.9%,-1.9%,-8.1%
01/06/13,10.3 €/m2,-1.3%,-3.3%,-9.4%
01/05/13,10.5 €/m2,-2.4%,-1.6%,-11.2%
01/04/13,10.7 €/m2,0.4%,-1.8%,-9.3%
01/03/13,10.7 €/m2,0.4%,-3.7%,-9.7%
01/02/13,10.6 €/m2,-2.6%,-3.2%,-10.1%
01/01/13,10.9 €/m2,-1.5%,-2.9%,-14.2%
01/12/12,11.1 €/m2,"1,00%",0.7%,n.d.
01/11/12,11.0 €/m2,-2.4%,-2.6%,n.d.
01/10/12,11.2 €/m2,2.2%,-1.7%,n.d.
01/09/12,11.0 €/m2,-2.4%,-3.4%,n.d.
01/08/12,11.3 €/m2,-1.4%,-4.3%,n.d.
01/07/12,11.4 €/m2,0.3%,-3.2%,n.d.
01/06/12,11.4 €/m2,-3.2%,-3.6%,n.d.
01/05/12,11.8 €/m2,-0.3%,-0.4%,n.d.
01/04/12,11.8 €/m2,-0.1%,-7.1%,n.d.
01/03/12,11.8 €/m2,n.d.,n.d.,n.d.
01/02/12,11.8 €/m2,"-7,00%",n.d.,n.d.
01/01/12,12.7 €/m2,n.d.,n.d.,n.d.
01/12/11,n.d.,n.d.,n.d.,n.d.
01/11/11,n.d.,n.d.,n.d.,n.d.
01/10/11,n.d.,n.d.,n.d.,n.d.
01/09/11,n.d.,n.d.,n.d.,n.d.
01/08/11,n.d.,n.d.,n.d.,n.d.
01/07/11,n.d.,n.d.,n.d.,n.d.
01/06/11,n.d.,n.d.,n.d.,n.d.
01/05/11,n.d.,n.d.,n.d.,n.d.
01/04/11,n.d.,n.d.,n.d.,n.d.
01/03/11,n.d.,n.d.,n.d.,n.d.
01/02/11,n.d.,n.d.,n.d.,n.d.
01/01/11,n.d.,n.d.,n.d.,n.d.
01/12/10,n.d.,n.d.,n.d.,n.d.
01/11/10,n.d.,n.d.,n.d.,n.d.
01/10/10,n.d.,n.d.,n.d.,n.d.
01/09/10,n.d.,n.d.,n.d.,n.d.
01/08/10,n.d.,n.d.,n.d.,n.d.
01/07/10,n.d.,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
01/12/07,n.d.,n.d.,n.d.,n.d.
01/11/07,n.d.,n.d.,n.d.,n.d.
01/10/07,n.d.,n.d.,n.d.,n.d.
01/09/07,n.d.,n.d.,n.d.,n.d.
01/08/07,n.d.,n.d.,n.d.,n.d.
01/07/07,n.d.,n.d.,n.d.,n.d.
01/06/07,n.d.,n.d.,n.d.,n.d.
01/05/07,n.d.,n.d.,n.d.,n.d.
01/04/07,n.d.,n.d.,n.d.,n.d.
01/03/07,n.d.,n.d.,n.d.,n.d.
01/02/07,n.d.,n.d.,n.d.,n.d.
01/01/07,n.d.,n.d.,n.d.,n.d.
01/12/06,n.d.,n.d.,n.d.,n.d.
01/11/06,n.d.,n.d.,n.d.,n.d.
01/10/06,n.d.,n.d.,n.d.,n.d.
01/09/06,n.d.,n.d.,n.d.,n.d.
01/08/06,n.d.,n.d.,n.d.,n.d.
01/07/06,n.d.,n.d.,n.d.,n.d.
01/06/06,n.d.,n.d.,n.d.,n.d.
01/05/06,n.d.,n.d.,n.d.,n.d.
01/04/06,n.d.,n.d.,n.d.,n.d.
01/03/06,n.d.,n.d.,n.d.,n.d.
01/02/06,n.d.,n.d.,n.d.,n.d.
01/01/06,n.d.,n.d.,n.d.,n.d.
