Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/10/16,13.1 €/m2,3.9%,6.2%,8.9%
01/09/16,12.6 €/m2,0.6%,2.6%,4.8%
01/08/16,12.5 €/m2,1.6%,1.4%,2.9%
01/07/16,12.3 €/m2,0.5%,n.d.,-3.3%
01/06/16,12.3 €/m2,-0.7%,-0.5%,-5.8%
01/05/16,12.3 €/m2,0.2%,1.6%,-5.7%
01/04/16,12.3 €/m2,n.d.,2.2%,-5.9%
01/03/16,12.3 €/m2,1.4%,3.2%,-0.4%
01/02/16,12.1 €/m2,0.8%,0.2%,-4.8%
01/01/16,12.0 €/m2,"1,00%",0.4%,-5.4%
01/12/15,11.9 €/m2,-1.6%,-0.7%,-6.5%
01/11/15,12.1 €/m2,"1,00%",-0.2%,-1.5%
01/10/15,12.0 €/m2,n.d.,-5.7%,-1.2%
01/09/15,12.0 €/m2,-1.2%,-7.7%,n.d.
01/08/15,12.1 €/m2,-4.6%,-7.2%,1.2%
01/07/15,12.7 €/m2,-2.1%,-2.7%,6.1%
01/06/15,13.0 €/m2,-0.6%,5.2%,5.3%
01/05/15,13.1 €/m2,"0,00%",2.6%,4.6%
01/04/15,13.1 €/m2,5.9%,2.7%,4.6%
01/03/15,12.4 €/m2,-3.2%,-3.2%,-1.2%
01/02/15,12.8 €/m2,0.2%,3.6%,"2,00%"
01/01/15,12.7 €/m2,-0.2%,4.8%,2.4%
01/12/14,12.8 €/m2,3.6%,6.3%,3.6%
01/11/14,12.3 €/m2,1.4%,2.6%,n.d.
01/10/14,12.1 €/m2,1.2%,1.2%,-2.9%
01/09/14,12.0 €/m2,n.d.,-2.8%,"-4,00%"
01/08/14,12.0 €/m2,n.d.,-4.1%,"-1,00%"
01/07/14,12.0 €/m2,-2.8%,-4.1%,2.5%
01/06/14,12.3 €/m2,-1.3%,-1.3%,4.9%
01/05/14,12.5 €/m2,"0,00%",0.1%,7.7%
01/04/14,12.5 €/m2,"0,00%",0.6%,6.3%
01/03/14,12.5 €/m2,0.1%,1.6%,"3,00%"
01/02/14,12.5 €/m2,0.6%,1.6%,1.6%
01/01/14,12.4 €/m2,"1,00%",-0.6%,"1,00%"
01/12/13,12.3 €/m2,n.d.,-1.5%,-3.3%
01/11/13,12.3 €/m2,-1.5%,1.5%,-7.7%
01/10/13,12.5 €/m2,n.d.,6.8%,-9.1%
01/09/13,12.5 €/m2,3.1%,6.3%,-9.1%
01/08/13,12.1 €/m2,3.6%,4.4%,-10.7%
01/07/13,11.7 €/m2,-0.5%,-0.5%,-14.9%
01/06/13,11.8 €/m2,1.3%,-3.1%,-16.7%
01/05/13,11.6 €/m2,-1.3%,-5.7%,-19.6%
01/04/13,11.8 €/m2,-3.1%,-4.4%,-18.6%
01/03/13,12.1 €/m2,-1.3%,-4.6%,"-15,00%"
01/02/13,12.3 €/m2,n.d.,-7.7%,-14.2%
01/01/13,12.3 €/m2,-3.3%,-10.5%,-14.7%
01/12/12,12.7 €/m2,-4.5%,-7.4%,-10.9%
01/11/12,13.3 €/m2,"-3,00%",-1.8%,-5.9%
01/10/12,13.8 €/m2,n.d.,n.d.,-2.9%
01/09/12,13.8 €/m2,1.3%,-2.6%,-3.7%
01/08/12,13.6 €/m2,-1.3%,"-6,00%","-5,00%"
01/07/12,13.8 €/m2,-2.6%,-4.8%,-3.7%
01/06/12,14.1 €/m2,-2.3%,-1.2%,-1.8%
01/05/12,14.4 €/m2,n.d.,0.7%,n.d.
01/04/12,14.4 €/m2,1.1%,0.1%,n.d.
01/03/12,14.3 €/m2,-0.4%,n.d.,n.d.
01/02/12,14.3 €/m2,-0.5%,1.3%,n.d.
01/01/12,14.4 €/m2,"1,00%",1.8%,n.d.
01/12/11,14.3 €/m2,0.8%,n.d.,n.d.
01/11/11,14.2 €/m2,n.d.,-0.8%,n.d.
01/10/11,14.2 €/m2,-0.8%,-0.8%,n.d.
01/09/11,14.3 €/m2,n.d.,-0.6%,n.d.
01/08/11,14.3 €/m2,n.d.,n.d.,n.d.
01/07/11,14.3 €/m2,-0.6%,n.d.,n.d.
01/06/11,14.4 €/m2,n.d.,n.d.,n.d.
01/05/11,n.d.,n.d.,n.d.,n.d.
01/04/11,n.d.,n.d.,n.d.,n.d.
01/03/11,n.d.,n.d.,n.d.,n.d.
01/02/11,n.d.,n.d.,n.d.,n.d.
01/01/11,n.d.,n.d.,n.d.,n.d.
01/12/10,n.d.,n.d.,n.d.,n.d.
01/11/10,n.d.,n.d.,n.d.,n.d.
01/10/10,n.d.,n.d.,n.d.,n.d.
01/09/10,n.d.,n.d.,n.d.,n.d.
01/08/10,n.d.,n.d.,n.d.,n.d.
01/07/10,n.d.,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
01/12/07,n.d.,n.d.,n.d.,n.d.
01/11/07,n.d.,n.d.,n.d.,n.d.
01/10/07,n.d.,n.d.,n.d.,n.d.
01/09/07,n.d.,n.d.,n.d.,n.d.
01/08/07,n.d.,n.d.,n.d.,n.d.
